ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,0.049331821,0.4070609,0.152745634,0.052254987,1
3,0.0000199808,0.297069243,0.007113529,0.000433651,2
13,0.000433651,0.260226824,0.001595233,0.000433651,5
18,2.17e-6,0.24711997,0.000611563,0.012359063,5
22,0.001187451,0.260388437,0.001598814,0.00802255,5
24,0.0,0.275721887,0.001826039,0.000433651,4
29,0.0,0.246987629,0.000533886,0.00151778,
33,9.77e-6,0.331917956,0.021289591,0.000433651,2
38,0.0000291807,0.273969348,0.002442077,0.001300954,6
48,0.000307921,0.290318519,0.004431961,0.010841284,2
50,1.65e-6,0.289425792,0.0033471,0.000650477,2
81,0.000480422,0.335125708,0.018749143,0.000216826,5
88,0.0000278909,0.294847206,0.006480544,0.000216826,2
93,0.001965196,0.327836224,0.019764969,0.000650477,2
101,0.0000140333,0.247146455,0.000549588,0.001951431,4
103,0.000875794,0.291714105,0.004373002,0.007372073,6
104,0.0000811181,0.268545476,0.001450359,0.002818734,6
114,0.002893084,0.319257926,0.015497987,0.002385082,2
137,0.005325763,0.253531966,0.000424809,0.000650477,5
145,0.011961443,0.327976106,0.021563942,0.012142238,3
174,0.010716258,0.374654752,0.058140756,0.000433651,1
194,0.0000782371,0.312296858,0.009038905,0.005420642,5
195,0.000490942,0.287620829,0.003178885,0.000433651,4
196,0.0000101041,0.288322081,0.003174558,0.000650477,3
209,0.001100797,0.302704122,0.012222221,0.000867303,3
210,0.00038516,0.302386572,0.006960157,0.001084128,4
224,0.0000321541,0.231386715,0.0000593208,0.000216826,4
226,0.001494887,0.292862586,0.007742169,0.001300954,3
234,0.0000479492,0.290611216,0.004178985,0.000216826,4
237,0.000233485,0.318530285,0.014281113,0.000650477,4
252,0.0000829282,0.250271326,0.000648878,0.000216826,2
270,0.0000121533,0.271326038,0.001318856,0.000650477,4
278,0.001078636,0.311243083,0.009478908,0.001734605,4
284,0.000044729,0.320500347,0.012272356,0.000650477,2
286,0.030696964,0.404100587,0.089475549,0.002818734,1
288,0.0000447107,0.275820824,0.001315125,0.001300954,4
293,0.041698403,0.407204662,0.113009943,0.002168257,1
297,0.006109179,0.371127384,0.052190816,0.000433651,3
385,0.0,0.178372525,1.75e-6,0.000216826,
513,0.002389365,0.321640282,0.011676137,0.000867303,5
517,0.002357494,0.292176117,0.003401403,0.000216826,3
549,0.001375815,0.252989578,0.000652857,0.000650477,4
568,0.021918215,0.352303109,0.035702876,0.052905464,3
577,0.009653081,0.336004663,0.01992131,0.000433651,3
600,0.001800202,0.347812971,0.028173546,0.00650477,2
668,0.004046874,0.348944541,0.038270895,0.000433651,4
683,0.0000137947,0.291585003,0.004291049,0.000433651,2
685,0.000332654,0.306689719,0.0103645,0.000216826,3
701,0.383268707,0.471526429,0.492709304,0.006071119,1
702,0.057987595,0.354523791,0.024453777,0.000650477,2
703,0.004422727,0.332660127,0.014154382,0.000216826,3
715,0.000721781,0.302783613,0.008544146,0.000650477,3
721,0.035143131,0.277230103,0.002847054,0.003686036,4
745,0.005159747,0.314962781,0.009825214,0.001084128,5
760,0.000433651,0.208782254,0.0000266033,0.002601908,8
786,0.000538917,0.296420078,0.002896701,0.000433651,4
789,0.000682593,0.245410525,0.000296775,0.000433651,6
790,0.000142872,0.289026759,0.0024726,0.002168257,2
800,0.000359061,0.251664302,0.000497182,0.000433651,4
