ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,6.89e-7,0.304269443,0.00073499,0.000054609,2
2,7.3e-8,0.255629232,0.000217119,0.0000819135,3
3,0.0000106377,0.323522137,0.001647118,0.000191131,18
4,0.0000120883,0.305395962,0.000822448,0.000136522,18
6,0.0000198497,0.31213725,0.001143003,0.000163827,5
18,2.21e-8,0.23673443,6.47e-6,0.0000819135,3
24,0.00011999,0.308176471,0.001862583,0.000382263,12
26,0.0000644749,0.293835897,0.000592206,0.000136522,3
29,0.0,0.309363517,0.000875296,0.0000819135,2
32,0.0000548958,0.243521972,0.0000157791,0.000136522,13
33,1.39e-6,0.320030759,0.003016955,0.000191131,3
34,8.02e-6,0.301122302,0.001041678,0.000109218,2
35,0.0000832518,0.294997986,0.000511183,0.0000819135,2
42,0.001459341,0.356680951,0.045201374,0.003167322,3
46,6.76e-7,0.281716576,0.000471153,0.000054609,2
55,3.0e-6,0.317049734,0.001301228,0.0000819135,2
57,0.000702029,0.322459653,0.001648801,0.000764526,16
59,5.25e-7,0.297504549,0.001265498,0.000191131,17
64,0.0000259602,0.276505628,0.000142434,0.000054609,2
71,0.000174388,0.299110607,0.000579892,0.000300349,19
74,6.71e-9,0.216740839,2.19e-6,0.000054609,9
80,0.000109217,0.249778348,0.0000510694,0.0000819135,7
81,0.000639692,0.311502739,0.001215568,0.000819135,20
88,0.0000148261,0.278819069,0.00035852,0.000163827,17
101,0.000776269,0.33288493,0.003874176,0.000928353,16
103,0.0000148625,0.31851111,0.001498754,0.000191131,9
109,0.000914186,0.342341163,0.003972982,0.000709917,23
112,0.000552004,0.324761466,0.014920127,0.001201398,25
137,0.000176253,0.329272569,0.005458299,0.000628003,17
145,5.15e-7,0.227259471,4.4e-6,0.0000819135,6
151,9.02e-7,0.262131753,0.000200723,0.000109218,17
160,6.29e-6,0.318971599,0.001594469,0.000163827,16
173,0.000054609,0.254125092,0.0000602012,0.000054609,16
174,0.124005486,0.414556568,0.081274357,0.081340105,1
194,0.0000326137,0.237405035,0.0000147464,0.0000819135,17
195,0.0000575618,0.275525864,0.000242417,0.000218436,12
206,0.0000271813,0.323193816,0.001441707,0.000136522,2
209,0.047328808,0.38216082,0.020340073,0.038990826,1
210,0.000134771,0.30846978,0.00124929,0.000327654,16
224,0.0000585209,0.286066893,0.001438592,0.000136522,10
226,0.000558986,0.323379307,0.009328057,0.000982962,17
237,0.000557776,0.328454585,0.005169367,0.000846439,16
239,0.0,0.293090478,0.000573259,0.000054609,2
250,4.61e-7,0.297062951,0.003590302,0.000191131,25
268,0.0,0.197879859,1.14e-7,0.000054609,6
270,0.000054609,0.261811319,0.0000411688,0.0000819135,3
271,0.000226658,0.304138051,0.002454407,0.000436872,10
276,0.0000216211,0.246524996,0.0000162124,0.000573394,3
278,4.6e-6,0.260379934,0.0000908967,0.000273045,17
286,0.004721881,0.376937486,0.048737563,0.008573613,2
292,0.0,0.274693048,0.00016611,0.000054609,3
293,0.005124656,0.378718784,0.023560337,0.004505242,2
297,0.000839081,0.354653471,0.00583893,0.000982962,2
302,0.000143613,0.288769042,0.000612003,0.000218436,4
306,0.001746996,0.165310295,7.92e-10,0.000928353,
309,0.0,0.163405167,6.51e-10,0.0000273045,
310,0.0,0.165201427,7.86e-10,0.0000273045,
317,1.72e-6,0.163559875,6.91e-10,0.000054609,
376,0.000494121,0.320170646,0.002533179,0.000655308,10
378,2.97e-7,0.240561204,0.0000414473,0.000054609,17
513,0.000119028,0.310233539,0.007026698,0.001256007,9
549,0.00022942,0.293602694,0.000607588,0.000409567,11
553,0.000168821,0.322434103,0.024171571,0.001174093,6
557,0.0000962437,0.293454484,0.000582003,0.000191131,20
558,0.000270414,0.339705596,0.010823178,0.00079183,8
559,0.0000159837,0.33266118,0.024804945,0.001119484,17
567,0.0000606311,0.26042437,0.000147977,0.000300349,12
577,0.003639325,0.361201243,0.010480409,0.00406837,2
594,0.0000922234,0.316868689,0.001315958,0.000163827,2
600,0.001192729,0.284965103,0.00050754,0.001419834,17
603,3.1e-7,0.276259514,0.000291479,0.000109218,6
611,2.12e-7,0.254133909,0.0000679825,0.0000819135,10
637,1.93e-7,0.197964357,3.0e-7,0.000109218,7
665,0.000054609,0.197911938,2.05e-7,0.0000819135,7
