ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,0.0000734079,0.248320068,0.0000119084,0.000231091,34
2,0.0000110977,0.275928252,0.000154482,0.000184873,35
3,0.0000256272,0.322444357,0.001109547,0.000207982,36
4,0.000104868,0.30488329,0.00055167,0.000161764,34
8,0.000021388,0.310826827,0.000777973,0.0000924364,9
24,0.000018148,0.308821535,0.001184854,0.0002542,27
26,0.0000548673,0.295239785,0.000429044,0.000115545,23
29,7.6e-6,0.314298996,0.000670484,0.000115545,31
32,2.85e-6,0.270191125,0.0000603447,0.000138655,33
34,2.7e-6,0.303482762,0.000658912,0.0000924364,2
35,0.0000709537,0.294644742,0.000344514,0.0000693273,2
42,0.000885176,0.360044264,0.040999791,0.003350819,22
46,3.04e-7,0.279357271,0.000243392,0.0000462182,2
50,9.16e-6,0.266221662,0.00010458,0.0000693273,38
55,2.17e-6,0.325385367,0.001383181,0.0000924364,2
57,0.000627481,0.333922371,0.002346003,0.000878146,28
59,1.66e-7,0.296591524,0.001057117,0.000161764,28
63,5.31e-7,0.25532053,0.0000236825,0.0000693273,3
64,0.0000214784,0.276113117,0.0000811834,0.0000462182,2
71,0.000108122,0.288579012,0.000217984,0.000231091,35
73,3.05e-7,0.250917609,0.0000237369,0.0000462182,33
80,0.0000462686,0.259520697,0.0000410762,0.0000693273,27
81,0.000797139,0.316651788,0.000785355,0.000716382,15
88,4.55e-6,0.277090844,0.000191072,0.000138655,35
100,0.0000718745,0.252971197,0.0000117852,0.000207982,37
101,0.000740217,0.334894052,0.004207496,0.000901255,32
103,8.38e-6,0.319666984,0.001062487,0.000138655,29
109,0.000568501,0.343373829,0.003756398,0.000577727,39
112,0.000418265,0.3164781,0.00513097,0.000901255,34
137,0.000175153,0.338326701,0.005994865,0.000670164,24
145,0.000626892,0.224820499,2.48e-6,0.000115545,29
149,0.0,0.178472592,2.6e-9,0.0000462182,5
151,4.82e-7,0.239783451,0.0000176888,0.0000693273,37
154,0.0,0.151500193,2.96e-11,0.0000231091,
159,0.0,0.240172055,6.5e-6,0.0000462182,28
160,3.62e-6,0.320033428,0.001120776,0.000138655,15
167,1.47e-6,0.294514395,0.000418045,0.0000462182,2
173,0.0000462182,0.276358225,0.0000983535,0.0000693273,36
174,0.126326217,0.417411016,0.074115342,0.087306172,1
194,0.0000507722,0.245523353,0.0000131391,0.0000693273,16
195,0.0000481496,0.269222873,0.000127286,0.000184873,32
206,0.0000250665,0.319202455,0.001035779,0.000138655,37
209,0.045666407,0.381414494,0.01450829,0.033461974,1
210,0.00010607,0.309557193,0.000768516,0.0002542,31
224,0.0000496383,0.288300233,0.001423986,0.000138655,8
226,0.000407953,0.318495293,0.003875217,0.000670164,33
237,0.000516576,0.325162871,0.003476881,0.000785709,15
250,2.84e-7,0.30417393,0.002168723,0.0000924364,28
270,0.0000462182,0.256852689,0.0000193288,0.0000693273,16
271,0.000208332,0.316154391,0.003515411,0.000485291,27
276,0.0000163834,0.243198282,7.93e-6,0.000485291,
278,3.95e-6,0.261822648,0.0000500635,0.000184873,35
286,0.004623196,0.382946903,0.032449214,0.007279366,2
292,0.0,0.265874893,0.0000881006,0.0000462182,28
293,0.003184252,0.362159584,0.015658941,0.003813001,27
