ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
3,0.0000219472,0.329030601,0.001990442,0.000195179,22
12,0.0000531968,0.314241613,0.001019861,0.000162649,21
14,0.0000409723,0.325570312,0.002166873,0.000195179,21
17,0.0,0.235343204,0.0000183463,0.0000650597,18
18,3.07e-7,0.238165703,8.99e-6,0.0000975895,7
20,1.95e-6,0.237951854,0.0000152733,0.0000975895,4
24,0.0000739483,0.301423725,0.001777522,0.000325298,18
26,5.72e-6,0.248500477,0.0000342684,0.000162649,3
32,0.0000202322,0.304797882,0.000986962,0.000162649,18
33,1.45e-6,0.303605819,0.002857206,0.000227709,2
34,0.0000650781,0.303432006,0.000910975,0.000130119,2
35,0.0000325288,0.27969502,0.000174267,0.0000650597,2
38,1.62e-8,0.252669215,0.000146094,0.0000975895,13
42,0.001203784,0.355177872,0.048003051,0.003448164,10
55,3.75e-6,0.320058721,0.001680064,0.0000975895,2
57,0.000896535,0.285471514,0.000501588,0.000748186,17
59,1.09e-7,0.2551565,0.000154073,0.000130119,18
63,2.58e-7,0.248983526,0.0000183791,0.0000650597,3
64,0.0000325288,0.27969502,0.000174267,0.0000650597,2
68,3.93e-8,0.271558806,0.000120423,0.0000650597,3
71,0.00025206,0.311228777,0.00115966,0.000422888,19
74,2.44e-7,0.231144028,0.0000117293,0.0000650597,6
80,0.000195459,0.269081965,0.000260744,0.000162649,10
81,0.000766049,0.326694794,0.002210824,0.000910836,17
88,0.000066852,0.266640645,0.000134194,0.000130119,5
91,3.3e-7,0.237675893,0.0000138228,0.0000650597,3
92,8.07e-6,0.304852289,0.00077955,0.0000650597,2
98,8.07e-6,0.304852289,0.00077955,0.0000650597,2
101,0.001121166,0.334170363,0.003200345,0.001040955,5
103,0.0000210709,0.305058003,0.000943576,0.000195179,3
109,0.000485591,0.329182104,0.002772569,0.000618067,16
111,2.9e-9,0.241168302,0.000013696,0.0000650597,3
112,0.000280716,0.318345156,0.016757897,0.001528903,21
137,0.000271021,0.334021492,0.00563005,0.000715657,18
145,1.19e-6,0.23505708,5.93e-6,0.0000975895,5
151,0.000109893,0.296742121,0.000694967,0.000292769,15
156,4.86e-6,0.316229645,0.001082476,0.0000975895,2
159,0.0,0.245458683,0.0000211936,0.0000650597,6
160,6.99e-6,0.28349964,0.000352301,0.000162649,17
173,0.0000650597,0.29263208,0.000339303,0.0000975895,8
174,0.121127422,0.435122932,0.115686767,0.072118669,1
194,0.0000702713,0.3048795,0.000795643,0.000162649,18
195,0.000195666,0.252142816,0.0000850646,0.000227709,18
206,0.0000234029,0.306072463,0.000855899,0.000130119,2
209,0.056910569,0.388286115,0.022552468,0.047005628,1
210,0.000179234,0.314775753,0.001386353,0.000325298,18
224,3.59e-7,0.287379639,0.002050741,0.000162649,19
226,0.000600028,0.320813592,0.008137848,0.000943366,19
237,0.000631107,0.335563803,0.00745175,0.000975895,17
239,0.0,0.303228479,0.000901064,0.0000650597,2
250,2.96e-6,0.295359339,0.004048571,0.000292769,10
270,0.0000650689,0.262078314,0.0000513829,0.000162649,10
271,0.000133049,0.283541478,0.00087907,0.000357828,15
276,0.0000110395,0.232186287,0.000014621,0.000585537,7
278,3.35e-6,0.26322279,0.000094333,0.000260239,18
286,0.00549209,0.382431609,0.063736117,0.010344491,3
293,0.001956988,0.37274017,0.015115362,0.00201685,2
297,0.001149556,0.355079411,0.006486989,0.001138545,9
302,0.000143056,0.315234111,0.001703346,0.000292769,7
306,0.000845611,0.164590171,1.17e-9,0.000455418,
376,0.000434307,0.311755877,0.00143752,0.000553007,9
513,0.000157458,0.313600473,0.010401677,0.001593962,19
549,0.000157942,0.303351161,0.000936569,0.000357828,14
553,0.000201875,0.327904,0.02981997,0.001528903,19
557,0.0000733219,0.303566844,0.000905655,0.000162649,11
558,0.000165962,0.338132741,0.010343359,0.000618067,12
559,0.00039412,0.342095013,0.048256292,0.005107186,18
567,0.000070806,0.255347249,0.000149452,0.000325298,18
577,0.003198944,0.357291461,0.011544754,0.003968641,2
594,0.00020686,0.323534984,0.001762306,0.000260239,13
600,0.0009283,0.325294703,0.002590418,0.000845776,5
611,5.42e-7,0.252136612,0.000031305,0.0000975895,9
665,0.0000650597,0.230654952,6.52e-6,0.0000975895,5
668,0.001748119,0.301660354,0.000680206,0.001106015,17
679,0.0,0.278784416,0.000654887,0.0000650597,19
680,0.00110588,0.338568455,0.025928291,0.001951791,18
683,0.0,0.272082773,0.000125221,0.0000650597,3
684,0.000297746,0.268595294,0.000292287,0.000292769,6
688,0.0,0.22730701,3.7e-6,0.0000650597,4
701,0.110403497,0.409459621,0.037030575,0.085748674,1
702,0.014859885,0.375476353,0.039576128,0.018119124,6
703,0.002891848,0.335190597,0.006882329,0.006701148,7
705,9.06e-7,0.299089335,0.000662497,0.000162649,8
715,0.000132024,0.265514472,0.000452741,0.000195179,11
719,0.000295646,0.280862844,0.001054586,0.000455418,10
721,0.001797899,0.29822468,0.000475007,0.0000975895,2
745,0.000325277,0.164561976,1.17e-9,0.000195179,
760,8.64e-7,0.279108407,0.000667061,0.000130119,19
766,0.000389795,0.328689348,0.004209011,0.000520478,18
781,2.12e-6,0.249770469,0.0000671915,0.0000650597,19
786,0.000612902,0.3360921,0.02973791,0.001886731,18
803,0.00043255,0.329027079,0.004382889,0.000715657,15
812,0.000616614,0.344834936,0.021417141,0.003415634,4
818,0.0000812445,0.26858356,0.000289734,0.000130119,10
852,0.003764849,0.361170182,0.017138068,0.004879477,12
855,0.000830204,0.33324661,0.003030325,0.000878306,3
1103,0.001002231,0.344012981,0.06217389,0.006213201,18
1110,0.0,0.257236099,0.000262921,0.0000650597,19
1120,8.31e-6,0.321864955,0.007803094,0.000487948,19
1125,3.41e-7,0.255965961,0.000481958,0.0000650597,19
1126,0.0000252223,0.329757678,0.026691674,0.001301194,16
1133,0.0,0.261185407,0.001044449,0.0000650597,19
1140,3.48e-6,0.315752172,0.024528965,0.001106015,5
1145,1.59e-9,0.257905113,0.000664342,0.0000650597,19
1201,7.94e-7,0.240820675,0.0000100872,0.0000975895,7
1213,0.000141429,0.302640387,0.0022225,0.000325298,18
1221,0.003681808,0.289329782,0.001021018,0.00416382,8
1224,2.5e-8,0.238911643,0.0000308084,0.0000975895,13
1226,0.0000167128,0.299634485,0.000639121,0.000195179,12
1237,0.000514858,0.281104263,0.000417827,0.001171074,15
1239,0.079597015,0.410224589,0.038907368,0.053446537,1
1241,0.001736355,0.316083326,0.001769317,0.001236134,9
1248,0.0000137136,0.322699502,0.013067565,0.000585537,2
1249,6.65e-6,0.29205936,0.000318675,0.0000975895,3
1251,0.0000649967,0.299640326,0.000891266,0.000260239,20
1257,0.003514646,0.375967712,0.031894068,0.00426141,2
1267,0.003805345,0.333449035,0.040642569,0.005204775,10
1273,0.00824909,0.378728332,0.042426662,0.009336066,8
1280,0.00114025,0.371044056,0.024822712,0.003318044,3
1290,0.000514892,0.346678245,0.030842406,0.00201685,14
1294,0.0000318487,0.304643834,0.00103322,0.000130119,2
1297,2.81e-7,0.265854312,0.000231669,0.000162649,20
1299,0.041075594,0.411019895,0.065648029,0.018054065,1
1342,2.55e-6,0.29925238,0.00250258,0.000162649,7
1351,5.89e-6,0.30582278,0.00079144,0.0000975895,4
1456,0.0,0.196949118,1.53e-7,0.0000650597,4
1491,0.0000650597,0.19695038,1.51e-7,0.0000650597,4
1547,0.0000149757,0.297805764,0.000887793,0.0000975895,3
1562,0.000281911,0.235689642,7.41e-6,0.000260239,3
1563,0.0000650773,0.235686028,7.41e-6,0.000130119,3
1569,0.000281905,0.235684221,7.36e-6,0.000227709,3
1580,0.000151792,0.235682414,7.36e-6,0.000130119,3
1582,0.0000650597,0.190734123,5.68e-8,0.0000650597,4
1591,0.0,0.23065149,6.52e-6,0.0000650597,4
1601,0.0,0.230374928,6.36e-6,0.0000325298,
1602,0.0,0.230374928,6.36e-6,0.0000325298,
1653,0.001006106,0.302729797,0.007684767,0.000910836,19
1659,0.000109045,0.298755066,0.001095532,0.000325298,20
1668,0.001038393,0.375050326,0.013949986,0.002602388,8
1680,0.004806429,0.347693804,0.017159034,0.003903582,12
1723,5.14e-8,0.251197111,0.0000703502,0.0000650597,19
1727,0.0000124927,0.230378381,6.37e-6,0.0000650597,5
1733,0.000624036,0.236340153,7.74e-6,0.000553007,4
1736,0.0,0.282385038,0.000386254,0.0000650597,3
1741,0.000326568,0.295146656,0.002477212,0.000325298,19
1742,0.000144046,0.309467962,0.001073391,0.000195179,2
1747,9.35e-6,0.280778189,0.000188069,0.0000975895,3
1754,0.000270476,0.252960296,0.000200341,0.0000650597,19
1759,0.000653055,0.302524234,0.002197902,0.000813246,2
1764,0.000876677,0.326223298,0.008920673,0.001431313,2
1767,0.0000669764,0.235874102,8.84e-6,0.000130119,18
1776,0.0,0.278784416,0.000654887,0.0000650597,19
1784,0.00074972,0.338732604,0.015704259,0.001626492,3
1785,0.010232795,0.363162745,0.016022854,0.009693894,2
1789,0.0,0.290898596,0.00030295,0.0000650597,2
1797,2.88e-7,0.232307355,8.05e-6,0.0000975895,19
1798,0.0000167143,0.303479935,0.000901089,0.0000975895,4
