ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
62343,9.42E-08,0.275110624,0.000130279,0,5.43848E-05
62448,9.67E-08,0.272102048,5.66473E-05,0,2.71924E-05
64441,2.41E-08,0.272557819,6.17609E-05,0,2.71924E-05
64471,2.47E-08,0.274468974,0.00012289,0,2.71924E-05
198099,0,0.284544825,0.000243078,0,2.71924E-05
198447,0,0.272577011,5.75225E-05,0,2.71924E-05
198892,0,0.27201651,5.58997E-05,0,1.35962E-05
199189,0,0.275188853,6.46383E-05,0,2.71924E-05
200492,4.52E-08,0.27439013,0.000117027,0,4.07886E-05
201957,0,0.27201651,5.58997E-05,0,1.35962E-05
202637,0,0.27201651,5.58997E-05,0,1.35962E-05
202842,0,0.272577011,5.75225E-05,0,2.71924E-05
204184,1.16E-06,0.291315972,0.000247699,0,4.07886E-05
205859,0,0.27201651,5.58997E-05,0,1.35962E-05
206234,0,0.27201651,5.58997E-05,0,1.35962E-05
206353,0,0.27201651,5.58997E-05,0,1.35962E-05
207115,0,0.272577011,5.75225E-05,0,2.71924E-05
207752,6.88E-08,0.274867985,0.000124512,0,4.07886E-05
207958,1.09E-08,0.273958826,0.000115404,0,2.71924E-05
208096,0,0.275188853,6.46383E-05,0,2.71924E-05
209856,1.20E-07,0.274648334,5.78088E-05,0,2.71924E-05
210718,0,0.27201651,5.58997E-05,0,1.35962E-05
210822,0,0.275188853,6.46383E-05,0,2.71924E-05
210840,2.47E-08,0.274468974,0.00012289,0,2.71924E-05
210927,0,0.27201651,5.58997E-05,0,1.35962E-05
211294,0,0.272577011,5.75225E-05,0,2.71924E-05
211412,2.47E-08,0.274468974,0.00012289,0,2.71924E-05
211462,0,0.27201651,5.58997E-05,0,1.35962E-05
212499,1.09E-08,0.273958826,0.000115404,0,2.71924E-05
212593,2.47E-08,0.274468974,0.00012289,0,2.71924E-05
212929,2.47E-08,0.274468974,0.00012289,0,2.71924E-05
213240,1.09E-08,0.273958826,0.000115404,0,2.71924E-05
8711,2.38E-06,0.293465163,0.000230721,0,5.43848E-05
206572,9.71E-10,0.250518579,9.82E-06,0,2.71924E-05
8672,0,0.262665438,4.97125E-05,0,1.35962E-05
12564,5.13174E-05,0.265035494,8.99231E-05,0,0.000122366
12716,0,0.262665438,4.97125E-05,0,1.35962E-05
12795,6.08E-08,0.265010665,8.96659E-05,0,4.07886E-05
12815,0,0.262665438,4.97125E-05,0,1.35962E-05
12982,5.91E-08,0.286065443,0.000278335,0,4.07886E-05
15362,3.55E-08,0.265532093,5.2217E-05,0,2.71924E-05
15534,0,0.262665438,4.97125E-05,0,1.35962E-05
16045,0,0.262665438,4.97125E-05,0,1.35962E-05
16193,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
21337,5.35E-09,0.283255026,0.000257496,0,2.71924E-05
21415,1.21E-08,0.263477473,5.39673E-05,0,2.71924E-05
24693,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
25147,5.95E-08,0.269564994,0.000135598,0,4.07886E-05
25407,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
29080,5.11E-09,0.263607789,0.000101826,0,2.71924E-05
29210,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
29343,0,0.262665438,4.97125E-05,0,1.35962E-05
29366,0,0.262665438,4.97125E-05,0,1.35962E-05
29580,0,0.262665438,4.97125E-05,0,1.35962E-05
29622,1.22E-08,0.266103706,5.28657E-05,0,2.71924E-05
31014,0,0.265007801,0.00010817,0,2.71924E-05
31140,2.19E-08,0.270371609,0.000154395,0,4.07886E-05
31369,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
31440,4.22E-08,0.269102431,0.000115539,0,4.07886E-05
31522,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
31527,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
31534,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
33825,0,0.265007801,0.00010817,0,2.71924E-05
33853,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
34491,5.35E-09,0.283255026,0.000257496,0,2.71924E-05
34524,8.46E-08,0.269100462,0.000115113,0,4.07886E-05
35122,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
35141,0,0.262665438,4.97125E-05,0,1.35962E-05
35176,0,0.262665438,4.97125E-05,0,1.35962E-05
35183,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
38924,2.71924E-05,0.262667314,4.97129E-05,0,2.71924E-05
39163,1.05E-08,0.283930791,0.000297132,0,4.07886E-05
39357,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
39401,2.73144E-05,0.269452413,0.00012286,0,9.51734E-05
40968,0,0.265510046,5.29471E-05,0,2.71924E-05
41292,5.11E-09,0.263607789,0.000101826,0,2.71924E-05
41610,2.38E-09,0.264024152,7.55622E-05,0,2.71924E-05
41730,8.68E-09,0.283566265,0.000283346,0,4.07886E-05
41799,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
41889,0,0.262665438,4.97125E-05,0,1.35962E-05
41922,1.01E-08,0.269098493,0.000114759,0,2.71924E-05
42086,1.22E-08,0.266103706,5.28657E-05,0,2.71924E-05
42157,0,0.262665438,4.97125E-05,0,1.35962E-05
42625,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
42794,9.10E-07,0.287107301,0.000343439,0,6.7981E-05
43063,9.51E-09,0.262717041,5.17231E-05,0,2.71924E-05
43651,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
43718,0,0.262665438,4.97125E-05,0,1.35962E-05
43943,5.11E-09,0.263607789,0.000101826,0,2.71924E-05
44201,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
44396,5.56E-08,0.262718918,5.00297E-05,0,2.71924E-05
44564,0,0.265007801,0.00010817,0,2.71924E-05
44781,0,0.262665438,4.97125E-05,0,1.35962E-05
44805,0,0.262665438,4.97125E-05,0,1.35962E-05
