ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
8,5.58e-6,0.310047396,0.001693016,0.000123279,2
14,3.39e-6,0.290931915,0.000917949,0.000164372,16
18,1.57e-7,0.222697073,3.72e-6,0.0000821862,3
24,5.59e-6,0.292266673,0.001145615,0.000328745,16
32,7.72e-6,0.303024643,0.001696416,0.000205465,19
33,1.53e-7,0.299910033,0.004293774,0.000287652,2
34,0.0,0.30200551,0.001453449,0.0000821862,2
35,0.0000410914,0.282554427,0.000289017,0.0000821862,2
38,0.0000712993,0.287016724,0.000718969,0.000246558,18
42,0.000735468,0.337138582,0.04579562,0.003369632,8
46,0.000211428,0.298992505,0.000662408,0.000328745,7
50,1.07e-7,0.279625863,0.000305354,0.0000821862,2
55,7.86e-6,0.309098299,0.001742417,0.000123279,2
57,0.00099925,0.285237063,0.000595058,0.000780768,17
64,0.0000410914,0.282554427,0.000289017,0.0000821862,2
68,0.0,0.279362638,0.000286346,0.0000821862,2
70,3.13e-6,0.301022996,0.001022585,0.0000821862,2
71,0.000112621,0.317266825,0.001571071,0.000369838,20
74,4.58e-7,0.236781676,0.0000569473,0.0000821862,11
80,0.000247435,0.257140442,0.0000931904,0.000205465,6
81,0.000497562,0.323367218,0.002869322,0.000657489,18
88,0.000013934,0.292456345,0.00058364,0.000164372,7
91,8.37e-7,0.280250596,0.000306091,0.000123279,16
101,0.001782891,0.350138847,0.010440327,0.002095747,21
102,4.96e-6,0.305912079,0.000871024,0.000123279,2
103,0.0000905279,0.301780798,0.00134498,0.000246558,18
111,6.13e-8,0.246437866,0.000144137,0.000123279,16
112,0.000231924,0.306501587,0.014888366,0.001438258,24
137,0.000210071,0.329015859,0.007235869,0.000575303,16
145,1.74e-6,0.236843898,9.69e-6,0.000123279,5
151,0.000151255,0.308080872,0.001966644,0.00053421,21
159,0.0000143066,0.280192514,0.000496697,0.000123279,5
173,0.0000855785,0.254886147,0.000121405,0.000164372,17
174,0.102744177,0.432230333,0.155264571,0.06747483,1
186,0.0,0.237523547,0.0000209077,0.0000410931,15
194,3.45e-7,0.238620541,0.000029598,0.000164372,21
195,0.000213223,0.282472432,0.000523732,0.000287652,19
206,0.0000794739,0.331291267,0.002556455,0.000287652,2
209,0.06985804,0.393814833,0.031197483,0.053256626,1
210,0.000176053,0.283955659,0.000405938,0.000369838,21
224,1.11e-8,0.277673182,0.002523338,0.000205465,17
225,4.36e-6,0.26437868,0.000318767,0.000164372,18
226,0.000411883,0.31857515,0.004960807,0.000821862,20
227,0.0,0.218034065,2.87e-6,0.0000821862,7
237,0.000794349,0.328301225,0.009313443,0.001232792,17
250,2.63e-7,0.265139134,0.001056596,0.000205465,10
270,0.0000821878,0.266836992,0.0000891085,0.000164372,16
271,0.0000862992,0.28576629,0.001603029,0.000369838,16
276,0.000094403,0.243603347,0.000086393,0.000575303,15
278,3.79e-6,0.246560214,0.0000340102,0.000287652,18
286,0.007657339,0.379599732,0.085042702,0.012985412,2
288,0.0000825227,0.259197324,0.000872812,0.000246558,19
293,0.006853346,0.387623447,0.030276957,0.005095541,1
297,0.001436596,0.363925944,0.009442906,0.001397165,15
302,3.88e-6,0.282748124,0.000296286,0.0000821862,2
376,0.000289345,0.292133348,0.001093067,0.000575303,16
378,0.0000524529,0.242864271,0.000049811,0.000123279,16
400,0.000211728,0.253296972,0.0000320249,0.000328745,13
513,0.000139847,0.323922477,0.01302875,0.001561537,17
549,0.000158467,0.301975529,0.001517928,0.000452024,4
553,0.000187869,0.32726368,0.0277817,0.00160263,17
557,0.0000493898,0.302132996,0.00144593,0.000164372,16
558,0.00020106,0.329563922,0.004773945,0.000616396,3
559,0.000220028,0.339092873,0.021714157,0.002260119,16
567,0.0000950972,0.261860951,0.000295666,0.000410931,19
575,0.0000821862,0.236645824,0.00001259,0.000123279,4
577,0.003796599,0.360049121,0.015409287,0.004438052,5
594,0.000337274,0.301377158,0.001080794,0.000287652,6
600,0.000737204,0.298354666,0.001428186,0.000904048,4
611,7.57e-7,0.247818161,0.0000415526,0.000123279,16
619,0.0,0.179504013,3.88e-8,0.0000410931,4
635,0.0,0.218034065,2.87e-6,0.0000821862,7
637,0.0000268345,0.240073004,0.0000153036,0.000164372,7
638,2.65e-8,0.236894622,0.0000127307,0.000123279,4
647,0.0000207709,0.238109216,0.0000172205,0.000493117,6
665,0.0000325575,0.240073004,0.0000152135,0.000164372,8
668,0.001733141,0.310589527,0.001536351,0.001438258,17
680,0.001087957,0.334501718,0.021326755,0.001767002,16
684,0.000192805,0.26418638,0.000418282,0.000328745,3
688,0.0,0.229421802,5.48e-6,0.0000821862,4
701,0.126587732,0.411251753,0.049044123,0.099280871,1
702,0.033555067,0.382031115,0.050719474,0.023053216,10
703,0.010748205,0.339997765,0.009672693,0.008876104,5
705,0.0000122898,0.308358043,0.001060383,0.000246558,11
714,0.000493217,0.322629828,0.003714685,0.000493117,10
719,0.000291571,0.289888738,0.001900705,0.000369838,12
721,0.010408174,0.309814506,0.001329971,0.004520238,2
724,0.001805661,0.278649292,0.000305311,0.000904048,6
745,0.000575232,0.191404683,1.17e-7,0.000328745,5
747,0.0,0.218034065,2.87e-6,0.0000821862,7
760,3.26e-7,0.251104094,0.000194118,0.0000821862,17
766,0.00050099,0.3293632,0.006166898,0.000657489,16
786,0.000408355,0.342992854,0.034597606,0.001931375,16
790,0.0000821862,0.273676042,0.001278385,0.0000821862,12
794,0.0000882269,0.319101507,0.001923791,0.000246558,4
803,0.000377007,0.317444788,0.002563708,0.000575303,7
812,0.000363469,0.34057829,0.021453122,0.00213684,9
818,0.0000904172,0.264123297,0.000409448,0.000164372,17
819,0.0000866177,0.286800236,0.000615416,0.000164372,8
852,0.003805459,0.363501927,0.020896777,0.005136634,2
855,0.000583551,0.318154482,0.001680966,0.000821862,6
1103,0.001325547,0.340888397,0.069793746,0.007273474,15
1120,0.0000238382,0.316771237,0.009196142,0.00053421,17
1124,0.0,0.262754413,0.001027117,0.0000821862,16
1126,0.0000159963,0.327492699,0.029961599,0.001479351,16
1133,6.56e-9,0.25846229,0.001468115,0.000123279,16
1140,2.38e-6,0.307438664,0.018090718,0.000821862,16
