ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,0.000142054,0.306746308,0.000584418,0.000199461,100000017
2,0.0000713878,0.301455114,0.001053217,0.000199461,100000011
3,0.0000220406,0.322652787,0.001272934,0.000224394,100000019
4,0.0000632936,0.306263792,0.000631809,0.000199461,100000016
6,0.0000144487,0.31297698,0.000900275,0.000149596,100000022
18,1.42e-7,0.23713181,4.34e-6,0.000074798,100000003
24,0.0000680621,0.309996754,0.001349055,0.000274259,100000017
26,0.0000591921,0.294487356,0.00048035,0.000124663,100000006
29,0.0,0.30970472,0.000674188,0.000074798,100000002
32,1.28e-6,0.270862738,0.000083366,0.000124663,100000015
34,4.3e-6,0.302743014,0.000800309,0.0000997307,100000002
35,0.0000745716,0.294273451,0.000380565,0.000074798,100000002
42,0.000684331,0.353751577,0.040457212,0.003041787,100000006
46,5.16e-7,0.280937204,0.000331165,0.0000498654,100000002
47,9.32e-7,0.263998684,0.000209026,0.0000997307,100000017
55,2.23e-6,0.317712294,0.001031598,0.000074798,100000002
57,0.000505633,0.33269738,0.002370492,0.000822778,100000015
59,7.01e-7,0.302715595,0.00108938,0.000174529,100000016
63,3.59e-7,0.253543208,0.0000194345,0.000074798,100000003
64,0.0000251541,0.278539384,0.000105154,0.0000498654,100000002
71,0.000117615,0.293840113,0.000296669,0.000249327,100000017
73,2.25e-7,0.250358922,0.0000220512,0.0000498654,100000014
80,0.0000499284,0.254802805,0.0000461374,0.000074798,100000018
81,0.000686459,0.311777555,0.000854584,0.00074798,100000016
88,4.44e-6,0.277635104,0.000246027,0.000149596,100000011
101,0.000810107,0.333893875,0.003564845,0.000822778,100000013
103,0.0000119903,0.319491465,0.001222691,0.000199461,100000016
109,0.000763026,0.333009523,0.00315358,0.000623317,100000021
112,0.000709202,0.323480309,0.01272372,0.001221701,100000020
137,0.000248441,0.335348367,0.005848174,0.00064825,100000016
145,4.3e-7,0.225493062,2.21e-6,0.000074798,100000017
