ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,0.064732725,0.41231178,0.158343522,0.058922817,1
13,0.00030689,0.258970793,0.000953679,0.000460335,6
18,0.0000131567,0.257487159,0.000620636,0.000460335,7
22,0.000613732,0.25195237,0.000459861,0.000460335,5
32,0.00033657,0.300018415,0.005715436,0.000613779,7
33,1.8e-6,0.333828501,0.018661536,0.000767224,6
38,0.0000339783,0.290690932,0.003130821,0.000613779,5
48,0.0000297317,0.293122835,0.00394773,0.000613779,5
50,7.1e-7,0.289631572,0.002475554,0.00030689,2
81,0.000729464,0.33873902,0.019528957,0.001227559,7
101,0.001041756,0.339533187,0.01949986,0.001994783,6
103,0.000449692,0.305560765,0.008042439,0.001227559,6
104,0.000367035,0.279615566,0.002106606,0.000613779,6
114,0.001837926,0.31841501,0.010568203,0.001841338,2
137,0.001844955,0.254133521,0.000327757,0.001227559,3
145,0.007699057,0.319962687,0.011913338,0.009667025,5
173,0.000307756,0.264349166,0.000681922,0.000460335,3
174,0.019685977,0.389656203,0.057015338,0.013503146,1
195,0.001044509,0.294101719,0.0036168,0.001074114,6
196,8.64e-6,0.29454036,0.00465104,0.000460335,3
200,0.000548435,0.327668561,0.015308981,0.001074114,2
202,0.0000119702,0.296388939,0.005577998,0.000460335,4
209,0.031035288,0.382969971,0.085709056,0.035292312,3
210,0.0000376386,0.279879751,0.002116,0.000460335,6
224,0.0000207612,0.244769953,0.000125727,0.00030689,4
226,0.000869269,0.307943108,0.010811566,0.002301673,4
237,0.000636461,0.32451947,0.016266039,0.001841338,6
278,0.001847857,0.302567436,0.005972927,0.001687893,4
286,0.031396584,0.391270413,0.062650288,0.012582477,4
293,0.036473021,0.40736342,0.092680258,0.021789167,1
297,0.003119037,0.371444856,0.043428036,0.003836121,3
303,0.000593763,0.252108317,0.000460084,0.000460335,5
378,0.000176316,0.29734909,0.005155304,0.000767224,3
385,0.0,0.192884837,4.0e-6,0.000153445,5
513,0.005782035,0.331148374,0.010850246,0.001994783,5
517,0.002287731,0.298465766,0.002402531,0.002301673,5
549,0.001559426,0.321874846,0.011896409,0.001227559,4
559,0.000214172,0.325524476,0.011531072,0.000460335,3
568,0.010322642,0.343542435,0.022153204,0.002148228,3
577,0.008324258,0.355867417,0.024639864,0.00475679,2
600,0.000950236,0.357409235,0.03342124,0.002148228,4
668,0.000414545,0.341974078,0.02298852,0.001687893,5
683,0.000314898,0.299645961,0.006928279,0.000767224,4
684,0.000314744,0.263430211,0.000945146,0.000613779,4
690,0.000208677,0.320829026,0.011303608,0.000460335,2
701,0.365826891,0.472006953,0.524280279,0.225870799,1
702,0.042909726,0.357428838,0.022912811,0.019947829,2
703,0.005352918,0.327685036,0.013820687,0.005524014,2
705,0.000758658,0.331687704,0.01320095,0.001227559,4
715,0.001744862,0.353435653,0.027966112,0.002301673,6
721,0.02424075,0.313966373,0.008658052,0.014116925,4
724,0.004094723,0.256141178,0.000483689,0.002301673,4
745,0.000613732,0.238989329,0.00018615,0.000460335,5
760,0.00030689,0.216669991,0.0000164457,0.00030689,5
786,0.000729666,0.306379578,0.002264938,0.000920669,3
790,0.0000987046,0.281305305,0.001347478,0.00030689,5
814,0.000336063,0.321779489,0.012341946,0.001227559,2
815,7.6e-6,0.25611098,0.000916448,0.000767224,3
816,0.007611327,0.323295962,0.012862419,0.007058462,2
838,0.000153421,0.25083715,0.000384926,0.00030689,5
839,0.000153421,0.25083715,0.000384926,0.00030689,5
852,0.002711569,0.334771665,0.017903314,0.001994783,4
854,0.000172588,0.262686928,0.000534775,0.000613779,3
855,0.000383542,0.262549351,0.00053044,0.000460335,3
1103,0.004463056,0.322911505,0.007349497,0.003989566,3
1104,4.37e-6,0.251475979,0.000425846,0.000460335,4
1136,0.001092218,0.288107869,0.001584938,0.001841338,5
1140,0.0,0.259548369,0.000555372,0.00030689,4
1221,0.015237728,0.331249365,0.014314486,0.010280804,3
1225,0.002243215,0.331755243,0.018162036,0.005370569,4
1237,0.000633006,0.244210447,0.000292168,0.000613779,6
1239,0.151268305,0.433628319,0.277494,0.115850852,1
1241,0.002062514,0.303695419,0.005527656,0.001534448,4
1257,0.001602842,0.295301101,0.002978886,0.001841338,4
1263,8.24e-6,0.271259105,0.000944979,0.00030689,4
1267,0.004091937,0.278766362,0.001078168,0.004296455,9
1270,0.005682285,0.278909527,0.001347596,0.007825687,7
1273,0.006765657,0.305790165,0.005862204,0.006905018,7
1275,0.003632114,0.296766849,0.002423446,0.002915452,3
1280,0.0000795674,0.333231068,0.015275929,0.001227559,1
1290,0.00153558,0.301531486,0.004187324,0.002762007,2
1292,1.02e-7,0.254222742,0.000411243,0.000460335,4
1299,0.011322329,0.305117281,0.004453261,0.00506368,2
