ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,1.16e-6,0.278060267,0.000649116,0.000139593,9
8,4.4e-6,0.311013025,0.001955678,0.000139593,2
14,2.34e-6,0.293264376,0.001232461,0.000186124,11
18,1.62e-7,0.223995247,4.98e-6,0.0000930622,4
24,2.65e-6,0.285579504,0.000822224,0.000325718,11
25,1.22e-6,0.268392592,0.000356484,0.000139593,11
26,0.0000346857,0.288121732,0.000734703,0.000186124,11
32,0.000034949,0.303996039,0.002024147,0.000279187,11
33,2.07e-7,0.304741783,0.006911672,0.000372249,2
34,0.0,0.300548206,0.001672796,0.0000930622,3
35,0.0000465289,0.284148454,0.000377419,0.0000930622,2
38,0.000068912,0.281986013,0.000598953,0.000279187,13
42,0.000327344,0.334173003,0.042335044,0.003024522,7
46,0.000152762,0.304211197,0.000939408,0.000325718,2
50,6.62e-7,0.280997895,0.000390442,0.000139593,11
55,6.33e-6,0.309860576,0.002050139,0.000139593,3
57,0.000977877,0.307220562,0.001508772,0.00083756,12
59,1.27e-8,0.283649658,0.000619394,0.000186124,12
64,0.0000465289,0.284148454,0.000377419,0.0000930622,2
70,9.24e-6,0.302090215,0.001140511,0.0000930622,2
71,0.0000487487,0.322605341,0.002188757,0.00041878,12
74,5.85e-7,0.244602269,0.0000858551,0.0000930622,8
75,9.59e-6,0.242690818,0.000124106,0.000186124,
80,0.000280247,0.261253814,0.000101852,0.000232656,5
81,0.000226934,0.309646279,0.001588755,0.00041878,10
88,0.0000151787,0.294776836,0.000757394,0.000139593,8
91,8.63e-7,0.282806085,0.000425156,0.000139593,11
101,0.001654137,0.342813846,0.012426312,0.002140431,10
102,0.000010827,0.310245269,0.001190011,0.000139593,2
103,0.000097836,0.293781526,0.001215336,0.000279187,13
112,0.000153805,0.306703201,0.011125037,0.001070215,19
137,0.000135576,0.318677897,0.006721854,0.000511842,11
145,0.000099373,0.296113094,0.000674904,0.000186124,2
151,0.000207188,0.312296559,0.002408532,0.000604904,17
159,0.0,0.238605958,0.0000534596,0.0000930622,4
160,2.51e-6,0.284626387,0.000443401,0.000139593,13
173,0.00010295,0.258091246,0.000127074,0.000186124,5
174,0.088057138,0.429210521,0.165087437,0.063980271,2
186,0.0,0.225518385,9.86e-6,0.0000465311,
194,2.24e-7,0.238396858,0.0000363779,0.000139593,11
195,0.000238889,0.284656547,0.000713956,0.000325718,11
206,0.000102313,0.333157642,0.00312216,0.000279187,2
209,0.065221187,0.396915689,0.037664173,0.054162207,1
210,0.000231606,0.286222281,0.000484825,0.000372249,10
224,1.3e-8,0.288237661,0.003503628,0.000279187,12
225,4.48e-6,0.259434076,0.000354677,0.000139593,5
226,0.00035762,0.316859565,0.005642154,0.000884091,12
237,0.000485134,0.323786422,0.00920107,0.001116747,12
239,0.0000263465,0.300359184,0.001655072,0.0000930622,3
251,0.0,0.241904076,0.000499709,0.000139593,15
270,0.0000930795,0.269405305,0.000133517,0.000232656,11
271,7.48e-6,0.29273708,0.002064334,0.00041878,11
276,0.000105782,0.240787425,0.0000801343,0.000697967,10
278,0.0000497035,0.267138187,0.000169597,0.00041878,11
286,0.007964915,0.381147468,0.096854425,0.013819738,2
288,0.00009351,0.259697416,0.001053614,0.000279187,12
291,0.0,0.280792297,0.000367487,0.0000930622,2
293,0.006646258,0.390404738,0.036312862,0.005258015,1
297,0.001774518,0.368653081,0.0129232,0.001814713,10
302,3.41e-6,0.284306333,0.000386271,0.0000930622,2
309,0.0,0.198555023,6.21e-7,0.0000465311,
376,0.00030407,0.295262825,0.001465356,0.000511842,11
378,0.0000623985,0.242611366,0.0000528506,0.000139593,11
400,0.00019949,0.25456333,0.0000422934,0.000325718,12
513,0.000387402,0.319397794,0.011579864,0.001628589,10
549,0.0000934051,0.232891557,0.000112073,0.00041878,12
553,0.000175594,0.32772161,0.031659183,0.001721651,5
557,0.0000946077,0.300459966,0.001134197,0.000186124,11
558,0.0000569331,0.312278407,0.003090952,0.000325718,7
559,0.000250813,0.340359824,0.02538747,0.002559211,11
567,0.000104627,0.264130769,0.000412747,0.00041878,11
568,0.0000930622,0.236961651,0.0000159852,0.000139593,3
575,0.0000930622,0.236930302,0.0000158186,0.0000930622,3
577,0.004236736,0.363060445,0.022164224,0.004978828,4
594,0.000201531,0.302370735,0.001223526,0.000232656,6
600,0.001002537,0.311938457,0.005225659,0.001116747,3
611,1.19e-6,0.230389897,0.000029329,0.000139593,11
668,0.002052286,0.310191533,0.002230344,0.001814713,12
680,0.001409263,0.333944526,0.026275316,0.002186962,4
683,0.0,0.280979526,0.000376027,0.0000930622,2
684,0.00016521,0.266561651,0.000470384,0.00041878,7
688,0.0,0.228588751,7.17e-6,0.0000930622,
693,2.1e-6,0.240709214,0.0000539833,0.0000930622,6
701,0.147236639,0.420616902,0.066641716,0.11274487,1
702,0.040871793,0.387078763,0.058334993,0.025964357,3
703,0.011902834,0.346176769,0.009594683,0.008794379,4
705,0.0000229433,0.314012274,0.0014112,0.000279187,5
714,0.000840202,0.329682299,0.006453482,0.000511842,9
719,0.00027293,0.29318836,0.002834696,0.000511842,5
721,0.013299052,0.310482822,0.001578761,0.006281699,2
724,0.00273789,0.283141419,0.000419916,0.001721651,5
745,0.000651345,0.191596534,1.59e-7,0.000372249,4
760,5.04e-7,0.253291218,0.000253804,0.0000930622,12
766,0.000572657,0.332966658,0.007933713,0.000791029,11
786,0.000433255,0.34734052,0.035092307,0.001907775,11
790,0.0000930622,0.274891277,0.001417166,0.0000930622,7
794,6.04e-6,0.321687847,0.002391528,0.000232656,4
803,0.000144635,0.28814491,0.000677893,0.000279187,8
812,0.000208726,0.339424474,0.02366225,0.001954306,4
818,0.0000991395,0.2664625,0.000458662,0.000186124,12
819,0.0000517072,0.296223294,0.001321845,0.000186124,12
852,0.003718827,0.363779474,0.025122193,0.005164953,4
855,0.0000588265,0.271125073,0.000269124,0.000604904,5
1103,0.001293053,0.336675387,0.039308518,0.003303709,10
1120,0.0000334479,0.320421643,0.011274427,0.000558373,12
1126,7.46e-6,0.316836208,0.019021905,0.000930622,6
1140,3.83e-6,0.313453517,0.020456544,0.000930622,15
1213,0.0000194508,0.305009935,0.002113214,0.000139593,11
1221,0.00374899,0.298784896,0.002003203,0.004513517,5
1226,4.06e-6,0.289125668,0.0012374,0.000279187,3
1237,0.000330529,0.281435793,0.000783879,0.001349402,5
1239,0.139825015,0.431096044,0.08013142,0.081894747,1
1240,0.0000889479,0.301496893,0.000815694,0.000186124,2
1241,0.001965223,0.290977281,0.001044089,0.001442464,4
1243,0.0000930622,0.236930302,0.0000158186,0.0000930622,3
1249,1.38e-6,0.281997113,0.000327443,0.0000930622,3
1251,0.0000777228,0.300115907,0.001235995,0.000232656,10
1257,0.004864779,0.370330163,0.05400691,0.008049881,5
1267,0.003494848,0.311468282,0.008487653,0.003955144,5
1273,0.020845672,0.38387068,0.057469106,0.01386627,2
1290,0.000847111,0.345453376,0.036390451,0.002605742,2
1299,0.06037566,0.413495209,0.071896923,0.017169978,3
1309,5.73e-7,0.242531966,0.000125848,0.0000930622,12
1342,4.41e-6,0.29115073,0.002227039,0.000186124,18
1351,3.12e-6,0.244304747,0.000073719,0.000139593,5
1547,0.0000930622,0.292545806,0.000720381,0.0000930622,4
1559,0.0000465289,0.242756611,0.0000220352,0.000139593,11
1580,0.0000465289,0.242756611,0.0000220352,0.000139593,12
1591,0.000148463,0.240407634,0.0000201901,0.000232656,6
1653,0.001209815,0.308721072,0.00841107,0.001209809,12
1659,0.000216494,0.319397794,0.004737445,0.000651435,12
1664,0.0000187904,0.27963775,0.000293517,0.000139593,7
1668,0.004867946,0.387945196,0.028604724,0.004839235,6
1680,0.00145734,0.326194524,0.003244577,0.001488995,7
1701,2.82e-7,0.269553984,0.000140671,0.000139593,11
1716,2.9e-6,0.242685337,0.000124745,0.0000930622,12
1733,0.000609785,0.237003463,0.000016623,0.000651435,4
1741,0.000372908,0.291616913,0.00224519,0.000372249,12
1742,0.000113745,0.309909728,0.002052389,0.000279187,3
1754,0.000504525,0.250404894,0.000263269,0.0000930622,5
1759,0.000690188,0.302596379,0.003309132,0.001023684,4
1761,0.0000441556,0.300472569,0.000949053,0.000139593,2
1764,9.25e-6,0.303202596,0.002303063,0.000186124,2
1767,0.0000931986,0.250128026,0.0000517655,0.000186124,11
1778,0.0000385578,0.236930302,0.0000158206,0.0000930622,3
