ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
1,6.36159E-05,0.261373166,2.90341E-05,0,0.000283104
11537,0.00130705,0.342601454,0.004021685,0,0.00260456
21616,0,0.207214007,1.14E-07,0,1.88736E-05
34732,4.77E-07,0.262747082,7.96912E-05,0,5.66209E-05
41387,3.11E-08,0.24343,7.33E-06,0,5.66209E-05
42405,0,0.242908818,4.10E-06,0,3.77472E-05
43647,0,0.242908818,4.10E-06,0,3.77472E-05
44912,4.92E-08,0.242981225,4.35E-06,0,5.66209E-05
56964,0,0.242908818,4.10E-06,0,3.77472E-05
61974,0,0.242908818,4.10E-06,0,3.77472E-05
327926,7.91E-08,0.225006158,9.10E-06,0,5.66209E-05
2,4.65E-06,0.252800733,1.18048E-05,0,0.000169863
57434,3.05E-08,0.227896994,2.39E-06,0,5.66209E-05
3,0.000210435,0.336532415,0.001467477,0,0.000396346
293,0.003240967,0.360420663,0.009143678,0,0.003038653
52434,1.50E-07,0.268034562,5.8712E-05,0,5.66209E-05
52989,4.44E-07,0.256765139,1.24087E-05,0,7.54945E-05
56603,1.70E-06,0.259617316,3.04235E-05,0,7.54945E-05
131748,3.15E-09,0.256643255,2.83865E-05,0,5.66209E-05
200929,1.00E-07,0.251883756,6.22E-06,0,3.77472E-05
262531,1.60E-07,0.260762148,2.90831E-05,0,5.66209E-05
263978,0,0.254752815,7.84E-06,0,3.77472E-05
4,4.27E-06,0.261276499,4.03672E-05,0,9.43681E-05
45664,4.72E-08,0.257721829,2.14668E-05,0,5.66209E-05
5,4.81E-06,0.253497407,9.62E-06,0,0.000132115
12880,0.008280619,0.309751948,0.00090208,0,0.001925109
264500,7.27E-07,0.254772415,2.63498E-05,0,5.66209E-05
6,3.60E-07,0.311010149,0.00052876,0,7.54945E-05
3549,0.08853415,0.427414411,0.045014086,0,0.06794504
8,3.08938E-05,0.317505213,0.00066957,0,0.000150989
10,3.21E-07,0.245939611,3.53E-06,0,7.54945E-05
46392,1.69E-06,0.257999172,2.84784E-05,0,7.54945E-05
12,6.06E-06,0.316133652,0.000677688,0,0.000113242
14,3.84E-06,0.324009638,0.000722524,0,7.54945E-05
16,4.8846E-05,0.265093636,3.57938E-05,0,5.66209E-05
263360,0,0.21129788,1.59E-07,0,3.77472E-05
24,7.48E-06,0.317575627,0.000845885,0,0.000188736
2153,3.70915E-05,0.282738159,0.000291217,0,0.000811566
7575,0.005724984,0.358549938,0.023664162,0,0.014023101
10343,0,0.255652593,1.50387E-05,0,3.77472E-05
26,1.62E-06,0.299298977,0.000332208,0,7.54945E-05
47065,7.28074E-05,0.332793166,0.015768502,0,0.001019176
32,1.03E-06,0.267494636,2.34911E-05,0,0.000113242
3561,0.00383588,0.357172229,0.004671288,0,0.005303488
3671,1.75E-07,0.265010103,3.85753E-05,0,5.66209E-05
46750,3.94E-08,0.257096552,1.95091E-05,0,3.77472E-05
33,0,0.309527565,0.000455308,0,3.77472E-05
34,2.46727E-05,0.299888498,0.000297512,0,0.000132115
35,3.77458E-05,0.29726879,0.000245644,0,5.66209E-05
5691,3.77475E-05,0.229154683,1.92E-06,0,5.66209E-05
38,0,0.259177913,1.74513E-05,0,3.77472E-05
42,0.00088748,0.369486538,0.034013506,0,0.003774724
27,3.45E-07,0.275423266,0.000150239,0,5.66209E-05
187,0,0.269800695,0.000133078,0,1.88736E-05
251,0.001738327,0.385534454,0.033884428,0,0.005718708
553,0.001493719,0.385394239,0.056493907,0,0.010493734
701,0.028467486,0.375023004,0.010709303,0,0.025724747
715,3.76867E-05,0.295422359,0.000371976,0,7.54945E-05
852,0.004316733,0.369594788,0.022758737,0,0.010984448
1103,0.001809274,0.372238108,0.088570449,0,0.019477578
1267,0.003808261,0.379998852,0.088844973,0,0.020421259
1273,0.007855988,0.387451554,0.026201961,0,0.009512306
1764,0.003436685,0.380200634,0.074247788,0,0.015740601
1836,0.001030731,0.37041387,0.038806599,0,0.008568624
1853,0.000924635,0.34404748,0.009798929,0,0.003000906
1916,0.0082438,0.345300861,0.010790696,0,0.01657104
2152,0.002391995,0.345785366,0.004962848,0,0.002302582
2381,0.000818706,0.346665445,0.010036641,0,0.003114148
2497,0.003827992,0.382699642,0.015490741,0,0.005775328
2516,0.003844517,0.368189904,0.012503044,0,0.006322663
2603,0.003534404,0.378917257,0.041122768,0,0.009361317
2905,3.91017E-05,0.316178928,0.001721102,0,0.000641703
3216,0.016424245,0.367260931,0.036959049,0,0.016948513
3252,0.007486897,0.380766218,0.088938389,0,0.026517439
3257,0.022212882,0.406615249,0.053161114,0,0.027102522
3267,0.006199105,0.382285459,0.074152903,0,0.018722633
3292,0.007132367,0.385130911,0.029230165,0,0.008662993
3303,0.005281984,0.390472541,0.030583767,0,0.008398762
