ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
1,3.56535E-05,0.291206478,0.000177382,0,0.000235667
3549,0.038874236,0.383430021,0.014252158,0,0.038445223
11537,0.0008999,0.329195695,0.001741693,0,0.002183852
133296,0.000236717,0.298408308,0.000546788,0,0.00040849
263026,2.11E-08,0.254871261,1.64151E-05,0,4.71335E-05
396264,2.95E-08,0.24971262,2.00E-06,0,4.71335E-05
2,7.13498E-05,0.287454329,0.000142763,0,0.000439913
20940,0.007539911,0.397460956,0.034399839,0,0.007352826
21954,2.49E-06,0.271996137,1.79011E-05,0,4.71335E-05
22572,5.37E-07,0.297322421,0.001333278,0,0.000235667
26862,5.32E-06,0.282992611,7.48375E-05,0,6.28447E-05
61399,5.27E-06,0.284738408,0.000135202,0,7.85558E-05
63945,1.14E-06,0.260439214,2.35345E-05,0,0.000109978
207123,2.92E-07,0.258906272,6.09597E-05,0,4.71335E-05
265036,3.13E-06,0.328173901,0.001596055,0,0.00040849
328399,0,0.247078872,7.85E-06,0,3.14223E-05
3,0.000293538,0.344361366,0.001413488,0,0.000455624
293,0.001453878,0.358883131,0.006744758,0,0.002655187
6939,0.211131305,0.476346927,0.170396665,0,0.125830728
23248,7.94798E-05,0.303505267,0.000169289,0,0.000172823
133295,6.77419E-05,0.263320329,1.58481E-05,0,0.0001414
266177,8.11E-07,0.329045933,0.001661758,0,0.000377068
5,6.37274E-05,0.289703419,0.000194485,0,0.000314223
6762,0.009272806,0.393490155,0.017306663,0,0.00754136
24527,2.49E-07,0.260427492,0.000112071,0,6.28447E-05
27881,9.21E-07,0.253941846,6.43E-06,0,7.85558E-05
44217,0.00065423,0.358622283,0.017677646,0,0.001775362
49991,0,0.246693901,7.43E-06,0,3.14223E-05
52352,1.57E-06,0.262138241,1.02277E-05,0,7.85558E-05
55482,4.26E-07,0.299975021,0.000578712,0,0.000109978
266813,3.54E-07,0.227235079,8.13E-07,0,3.14223E-05
266951,0.000115942,0.330249572,0.001913694,0,0.000565602
396482,1.06E-06,0.302478318,0.00015197,0,3.14223E-05
6,4.92935E-05,0.282727374,6.87089E-05,0,0.000172823
268554,9.51E-08,0.253229573,5.94E-06,0,4.71335E-05
7,4.38E-08,0.258778902,3.55463E-05,0,4.71335E-05
10,6.39E-06,0.26523069,6.63094E-05,0,0.000125689
7748,3.41E-06,0.272044964,1.68077E-05,0,4.71335E-05
36945,0,0.225722483,1.32E-06,0,3.14223E-05
36969,2.04885E-05,0.282669616,5.70552E-05,0,7.85558E-05
46392,5.75E-08,0.256209092,9.35E-06,0,4.71335E-05
49110,2.58E-07,0.266130078,5.13997E-05,0,6.28447E-05
200612,0.00017577,0.355658495,0.021278608,0,0.002058163
12,3.84909E-05,0.324461686,0.000521834,0,0.000109978
5580,0.009838733,0.391939407,0.023447666,0,0.021272919
54965,0,0.244977215,1.50E-06,0,1.57112E-05
20,5.12E-06,0.308738928,0.00021942,0,7.85558E-05
4323,0.012800948,0.360256287,0.006854016,0,0.031563732
24,8.33E-06,0.324608959,0.000583295,0,0.000125689
2153,3.65944E-05,0.283973641,0.000189934,0,0.000707002
7575,0.004432476,0.369183028,0.019916507,0,0.014140049
10343,0,0.252221086,5.57E-06,0,3.14223E-05
22388,4.95862E-05,0.330687102,0.00201908,0,0.000471335
32,1.83E-08,0.246469411,2.08E-06,0,6.28447E-05
3671,8.01E-07,0.264171696,2.08923E-05,0,4.71335E-05
46750,3.66E-07,0.257554789,1.01745E-05,0,3.14223E-05
33,1.56349E-05,0.271716301,1.5728E-05,0,3.14223E-05
54680,6.90E-09,0.214032551,9.07E-08,0,3.14223E-05
34,2.82E-06,0.298870706,0.000158723,0,4.71335E-05
10466,6.72E-06,0.302832348,0.000183406,0,0.000204245
35,3.14213E-05,0.302407898,0.000151412,0,3.14223E-05
5691,3.14226E-05,0.232195624,8.73E-07,0,4.71335E-05
42,0.000581225,0.375264576,0.02819774,0,0.00444626
187,0,0.272868357,8.12772E-05,0,1.57112E-05
286,0.003896475,0.404696203,0.050302197,0,0.011909064
553,0.001034643,0.38710521,0.055904601,0,0.013668714
