ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
1,4.94304E-05,0.267397554,4.76895E-05,0,0.000172723
11537,0.001295528,0.342961866,0.004456869,0,0.002741974
21616,0,0.210982554,2.02E-07,0,2.15903E-05
3,0.00026755,0.337902708,0.001951474,0,0.000367036
291,1.00E-08,0.270905592,6.23353E-05,0,6.4771E-05
293,0.001949437,0.36586464,0.011603091,0,0.003540817
3431,1.00E-08,0.270905592,6.23353E-05,0,6.4771E-05
4,7.10094E-05,0.293921299,0.000393553,0,0.000237494
24863,0.000367288,0.324662489,0.001368633,0,0.000539759
29076,0.00433452,0.378580069,0.047286701,0,0.01129175
45664,6.18E-08,0.261226354,4.11213E-05,0,6.4771E-05
6,5.14047E-05,0.317803501,0.000920069,0,0.000172723
7738,0.002670539,0.359777222,0.011508047,0,0.004037394
9116,0.001477815,0.360884505,0.026516668,0,0.003260142
29028,3.78E-07,0.308852065,0.003425303,0,0.000280674
8,1.04263E-05,0.316426985,0.000640254,0,8.63614E-05
4551,6.61E-07,0.254850282,1.26127E-05,0,0.000172723
14,3.04011E-05,0.338159278,0.00170377,0,0.000259084
7795,0.000972718,0.344072682,0.006922963,0,0.001360192
9002,0.038444861,0.429728526,0.126325838,0,0.050327094
9848,0.000402959,0.305860056,0.000854476,0,0.00123065
12008,0.000149779,0.323689121,0.001243409,0,0.000280674
15570,0.000280205,0.325118277,0.001627451,0,0.000820433
35320,0.0048765,0.352638872,0.026871223,0,0.004166937
35994,2.17E-06,0.322714826,0.001151552,0,0.000237494
43650,4.10E-08,0.297096197,0.000432459,0,0.000107952
21,8.25E-06,0.27808665,6.35893E-05,0,0.000107952
703,0.000442228,0.325728753,0.002863198,0,0.002439709
9564,3.49E-07,0.251407201,2.83968E-05,0,8.63614E-05
45867,3.49E-07,0.251407201,2.83968E-05,0,8.63614E-05
55542,1.52E-07,0.250321569,1.86782E-05,0,6.4771E-05
24,7.62E-06,0.318161523,0.001112928,0,0.000172723
2153,3.91205E-05,0.285951536,0.000411031,0,0.000971566
7575,0.006148387,0.359433809,0.024061801,0,0.013364423
10343,0,0.257620086,2.15325E-05,0,4.31807E-05
26,3.11E-06,0.29984463,0.000347637,0,8.63614E-05
47065,2.15E-06,0.268477889,7.32402E-05,0,0.000194313
30,6.09418E-05,0.313643566,0.000697799,0,0.000107952
41095,0.004525805,0.396607383,0.077349325,0,0.017941577
32,9.52E-07,0.269973945,3.56864E-05,0,0.000107952
