ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,0.0470451,0.413584283,0.123806979,0.042689214,1
2,0.000275043,0.262548053,0.000247585,0.000274971,3
8,0.0,0.292996838,0.001820811,0.000137485,2
11,0.0000663024,0.292837588,0.00183303,0.000206228,14
12,9.88e-6,0.259129289,0.000605297,0.000206228,4
13,0.0000105443,0.259536128,0.000420788,0.000137485,12
14,0.0000218206,0.285891162,0.002269768,0.000206228,3
20,0.0000219308,0.287058963,0.002238029,0.000206228,3
24,2.15e-6,0.281237313,0.001227476,0.000343713,11
26,2.16e-6,0.252131864,0.00034123,0.000137485,4
27,7.59e-6,0.29267851,0.001819262,0.000137485,2
32,0.000179544,0.31218748,0.008833124,0.00075617,14
33,6.77e-6,0.333639137,0.014663468,0.000481199,2
35,0.000068738,0.292507842,0.00179555,0.000137485,2
38,0.00022054,0.31991819,0.020810983,0.002131024,14
42,6.55e-7,0.309504053,0.007305004,0.000412456,5
48,2.58e-7,0.293221261,0.002284489,0.000206228,12
50,9.26e-7,0.284071159,0.001103967,0.000206228,2
57,0.000651023,0.29696846,0.002806637,0.000687427,12
59,7.82e-8,0.285969844,0.00232074,0.000274971,14
64,0.000068738,0.292507842,0.00179555,0.000137485,2
70,9.47e-6,0.292961434,0.001861921,0.000137485,2
71,0.000080242,0.351029174,0.016639693,0.000618684,15
75,1.46e-7,0.248458556,0.00038791,0.000274971,12
81,0.000355557,0.328419199,0.007737008,0.000549942,12
88,5.9e-6,0.298057616,0.003282914,0.000206228,4
91,0.0,0.205512545,0.0000105701,0.0000687427,12
98,0.0000471261,0.302338148,0.004017494,0.000206228,3
101,0.002031505,0.355481159,0.01937197,0.001993538,12
103,0.0000241184,0.319904119,0.014551036,0.000962398,14
112,0.000129056,0.310574521,0.006279879,0.00075617,17
132,0.0000105443,0.259536128,0.000420788,0.000137485,12
145,0.001263488,0.328196914,0.009649674,0.001649825,12
159,0.0,0.261223244,0.000472586,0.000137485,3
173,0.0000446002,0.28872261,0.001304347,0.000343713,9
174,0.001970493,0.376202545,0.038791154,0.003368392,3
186,0.0,0.222942529,0.0000245033,0.0000687427,13
189,0.0,0.29854085,0.002577128,0.000137485,2
195,0.000477997,0.290353486,0.002436633,0.000618684,13
