ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
1,7.73E-06,0.278950479,0.000121808,0,0.000192624
137615,1.70E-07,0.233601933,2.43E-06,0,4.44517E-05
2,0.00023044,0.315123245,0.000562396,0,0.000563055
3356,0.121084187,0.434026818,0.063037931,0,0.080664997
6147,0.000145339,0.278839837,4.14572E-05,0,0.000237076
16044,1.95E-07,0.262544883,6.55944E-05,0,4.44517E-05
26862,4.05E-06,0.284125928,9.07575E-05,0,4.44517E-05
36909,8.90362E-05,0.267540643,7.02404E-05,0,7.40861E-05
37628,1.43E-06,0.325364226,0.001706427,0,0.000207441
42512,6.45466E-05,0.327008523,0.001967246,0,0.000192624
60781,2.00E-06,0.328215578,0.00105983,0,0.00016299
137209,0,0.241526409,1.69E-06,0,2.96345E-05
204854,0,0.25517716,9.91E-06,0,2.96345E-05
262387,3.04448E-05,0.273275754,8.57671E-05,0,0.000103721
267382,0,0.256193296,1.50335E-05,0,2.96345E-05
268271,2.43E-07,0.281807705,0.000156385,0,4.44517E-05
328262,4.70E-06,0.325654673,0.002267808,0,0.000222258
3,0.000294272,0.343987645,0.001812844,0,0.000400065
293,0.001314036,0.355960274,0.006265136,0,0.002385574
6939,0.185623534,0.472264791,0.180816599,0,0.129754479
23248,7.17502E-05,0.3038731,0.000187851,0,0.000133355
56994,2.99E-07,0.326720403,0.003044181,0,0.000281527
139937,2.69E-07,0.260385279,1.59918E-05,0,4.44517E-05
266961,7.00E-06,0.33016648,0.004777659,0,0.000518603
4,0.000121067,0.303479567,0.000195843,0,0.000237076
38315,2.66E-07,0.234173372,8.97E-07,0,5.92689E-05
61882,5.10E-07,0.275025266,0.000125076,0,8.89034E-05
137095,1.46E-06,0.236561137,9.99E-07,0,5.92689E-05
139741,0,0.236042376,6.87E-07,0,2.96345E-05
5,8.87E-06,0.29657803,0.000277379,0,0.000148172
52352,9.87E-07,0.262366269,1.94584E-05,0,5.92689E-05
54574,5.05E-06,0.343928044,0.004574323,0,0.000474151
8,1.33357E-05,0.3101203,0.000276576,0,7.40861E-05
1700,0,0.253670363,4.79E-06,0,2.96345E-05
10,4.26184E-05,0.274468258,5.36383E-05,0,4.44517E-05
46392,4.65E-08,0.255657583,9.67E-06,0,4.44517E-05
12,3.67483E-05,0.325213712,0.000458971,0,8.89034E-05
54965,0,0.245405622,1.25E-06,0,1.48172E-05
16,2.65E-06,0.266086045,3.24738E-05,0,7.40861E-05
135693,5.38E-06,0.233262018,2.16E-06,0,4.44517E-05
265296,0,0.248999229,1.50583E-05,0,2.96345E-05
24,7.50E-06,0.322169341,0.000582408,0,0.000118538
2153,5.21002E-05,0.290770517,0.00024855,0,0.000740861
7575,0.00467127,0.369699426,0.02128664,0,0.014802412
10343,0,0.250567117,5.31E-06,0,2.96345E-05
22388,4.01062E-05,0.328237926,0.001751624,0,0.000370431
32,7.90E-09,0.246005854,2.78E-06,0,5.92689E-05
3671,4.02E-07,0.262584722,1.84753E-05,0,4.44517E-05
33,1.4817E-05,0.270525185,1.54859E-05,0,2.96345E-05
54680,2.20E-10,0.212925921,8.45E-08,0,2.96345E-05
34,5.35E-06,0.29935639,0.000146157,0,7.40861E-05
30641,3.56E-06,0.299138783,0.000144167,0,4.44517E-05
35,2.96336E-05,0.302669758,0.000171999,0,2.96345E-05
5691,2.96347E-05,0.232349731,9.39E-07,0,4.44517E-05
38,0,0.251836843,5.40E-06,0,2.96345E-05
11537,0.000769977,0.326229239,0.001717845,0,0.002341122
42,0.000406638,0.373273674,0.02753994,0,0.004489621
187,0,0.271814121,7.51415E-05,0,1.48172E-05
286,0.002350299,0.394464902,0.036384773,0,0.007986487
553,0.000632815,0.379277401,0.03157937,0,0.005808354
680,0.000521861,0.354111246,0.012325044,0,0.002652284
701,0.018887639,0.367395044,0.005793269,0,0.020640401
715,2.98613E-05,0.294545867,0.000248771,0,0.000118538
852,0.002770684,0.364498045,0.011241562,0,0.006282505
1103,0.001472927,0.380904273,0.067770264,0,0.020521863
1140,0.000464527,0.371592492,0.052435279,0,0.014076368
1273,0.003087237,0.375353863,0.011861115,0,0.004963772
1280,8.99738E-05,0.351309427,0.00399019,0,0.001037206
1403,8.67008E-05,0.345664912,0.00616659,0,0.003570952
1764,0.002467164,0.378645407,0.0448762,0,0.011824149
1798,0.000489844,0.362567287,0.016360559,0,0.007127087
1916,0.006903449,0.361846091,0.031689824,0,0.029056587
2119,0.002881555,0.379401067,0.029797854,0,0.006667753
2152,0.002142302,0.343397801,0.003441266,0,0.002000326
2381,0.000713057,0.341882637,0.006592534,0,0.003096801
2497,0.002317846,0.374234081,0.009118553,0,0.00491932
2603,0.002002931,0.374703658,0.026672486,0,0.008327283
2613,2.99E-06,0.333181937,0.008383362,0,0.001333551
2905,9.29735E-05,0.340024083,0.004717018,0,0.001585444
3130,6.3019E-05,0.337220748,0.008480871,0,0.00358577
3216,0.013676941,0.370610976,0.02714238,0,0.014817229
3223,0.004714578,0.390525183,0.070177719,0,0.022181393
3257,0.025124523,0.400091295,0.03289134,0,0.029797448
3267,0.003232429,0.38585869,0.045315242,0,0.013009527
3292,0.003303152,0.373591883,0.01618926,0,0.005556461
3303,0.007999874,0.402527689,0.034803159,0,0.014106002
3333,0.000187429,0.36221119,0.029446822,0,0.004800782
3402,0.000184667,0.350237422,0.004767021,0,0.001585444
3491,0.007177623,0.393615966,0.019881411,0,0.010342426
3741,0.001322459,0.378265524,0.039808308,0,0.011098105
4181,0.001524722,0.36352227,0.013485833,0,0.005926892
4608,7.83704E-05,0.331739088,0.003449646,0,0.001140927
4637,0.005246751,0.388586925,0.022224429,0,0.010816578
4657,0.002383906,0.367211135,0.040892793,0,0.011187008
4739,0.00122699,0.35268634,0.015146006,0,0.01000163
4777,1.4975E-05,0.325895272,0.001044094,0,0.000370431
4788,0.001554563,0.370058232,0.032661023,0,0.007230808
4826,0.011732338,0.385539071,0.029416442,0,0.0214998
4844,0.000140361,0.355024014,0.009738178,0,0.002000326
5413,0.000288617,0.366660509,0.028859096,0,0.005319385
5645,0.000134697,0.336309954,0.004854018,0,0.00288936
5650,0.003272404,0.353528792,0.005339548,0,0.003896931
5769,0.000678758,0.360921114,0.010848701,0,0.004015469
6079,0.001519459,0.361473983,0.01179111,0,0.004000652
6082,1.25699E-05,0.331410023,0.003411853,0,0.001378002
6233,0.000201564,0.359039426,0.036781147,0,0.00727526
6423,3.31284E-05,0.332940318,0.001629896,0,0.001185378
6461,0.027496072,0.39559789,0.032569086,0,0.030138245
