ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
18,4.84e-7,0.237672745,6.63e-6,0.0000895924,8
24,0.0000102062,0.305280528,0.001811761,0.000328505,10
26,0.0000669817,0.298171877,0.000573855,0.000149321,8
29,2.59e-6,0.288147116,0.000307452,0.0000895924,2
32,6.85e-7,0.262495688,0.0000911362,0.000149321,10
33,8.14e-7,0.30590804,0.002183577,0.000149321,7
34,0.0000296421,0.297369543,0.000552421,0.0000895924,2
35,0.0000298632,0.278100759,0.00013964,0.0000597282,2
42,0.00142755,0.356136265,0.045036046,0.003314917,3
55,4.53e-6,0.317754792,0.001287019,0.0000895924,2
57,0.001020903,0.323848854,0.001749231,0.000776467,9
59,4.71e-7,0.298240926,0.001411692,0.000179185,10
64,0.0000298632,0.278100759,0.00013964,0.0000597282,2
71,0.000232232,0.30627178,0.000964161,0.000388234,11
74,1.43e-8,0.217906252,2.6e-6,0.0000597282,10
80,0.000179485,0.26911578,0.000208186,0.000149321,12
81,0.000704608,0.313151717,0.00121603,0.000866059,10
88,2.27e-6,0.278045338,0.000294299,0.000149321,4
101,0.001121907,0.333058147,0.003907066,0.000955652,9
103,0.0000236961,0.319604849,0.001495007,0.000209049,10
109,0.000787928,0.335796947,0.003226784,0.000627146,14
112,0.00069497,0.323314151,0.014269961,0.001343885,13
137,0.000166603,0.328803307,0.005671327,0.000686875,11
145,5.51e-7,0.230029952,5.41e-6,0.0000895924,6
151,7.82e-7,0.261313709,0.000195567,0.000119456,15
160,3.29e-6,0.307435937,0.00101135,0.000149321,2
173,0.0000597282,0.251473846,0.0000569552,0.0000597282,3
174,0.122108385,0.422971983,0.076052614,0.074570703,1
194,0.0000597282,0.30516924,0.000750138,0.000119456,10
195,0.000122357,0.277179941,0.000263141,0.000238913,10
206,0.0000184094,0.307159565,0.000764921,0.000119456,2
209,0.052219412,0.385221573,0.019419276,0.0433627,1
210,0.000146059,0.310457365,0.001277982,0.000328505,10
224,2.35e-6,0.28821408,0.002314772,0.000149321,12
226,0.000583523,0.322526271,0.009139759,0.000955652,11
237,0.000663899,0.330191005,0.005474713,0.00101538,9
239,0.0,0.297274503,0.000551025,0.0000597282,2
248,7.66e-6,0.312739329,0.006408115,0.000298641,3
270,0.0000597282,0.26152188,0.0000410297,0.0000895924,3
271,0.000187693,0.302941203,0.001947825,0.000388234,10
276,0.0000101272,0.230970857,0.0000114012,0.000567418,8
278,3.75e-6,0.261376942,0.0000738044,0.000238913,11
286,0.005939589,0.38153457,0.058349032,0.010064208,2
292,0.0000597282,0.276292556,0.000181026,0.0000597282,2
293,0.005248904,0.381760762,0.025175933,0.004748395,1
297,0.000938788,0.35412128,0.005665124,0.000985516,2
302,0.000162667,0.290640651,0.000744951,0.000268777,3
306,0.001612038,0.166013882,1.07e-9,0.000866059,
308,0.0,0.190584874,8.83e-8,0.0000597282,12
376,0.000543504,0.316364804,0.002232963,0.000686875,10
513,0.000144283,0.313224949,0.009299795,0.001403614,4
549,0.000153812,0.297425011,0.000584455,0.000388234,11
553,0.000197306,0.324269099,0.027664181,0.001433478,12
557,0.000088503,0.297649736,0.000558761,0.000179185,10
558,0.000247151,0.338003573,0.010790608,0.000716739,8
559,0.000485269,0.341168439,0.061489824,0.00797372,11
567,0.0000640172,0.256405348,0.000147339,0.000298641,10
577,0.003495987,0.365110345,0.011609931,0.00406152,2
594,0.000120783,0.317104815,0.00134432,0.000149321,9
600,0.000844895,0.284908406,0.000345517,0.001075108,10
603,2.46e-7,0.278577371,0.000370575,0.000119456,4
611,3.18e-7,0.251370017,0.000069691,0.0000895924,10
665,0.0000597282,0.225763388,3.16e-6,0.0000895924,10
668,0.001382626,0.294308943,0.000735183,0.000895924,9
680,0.001058531,0.341074612,0.025121407,0.001941168,11
684,0.0000680987,0.268180362,0.000250627,0.0000895924,3
688,0.0,0.225860848,4.18e-6,0.0000597282,5
701,0.071045966,0.390236228,0.023398929,0.061908317,1
702,0.015867036,0.366874473,0.02956732,0.015439749,2
703,0.005171528,0.335948552,0.007920981,0.00594296,2
705,4.43e-6,0.293069948,0.00045289,0.000149321,3
715,0.000097477,0.28773362,0.001608742,0.000238913,8
719,0.000580505,0.294022092,0.002084079,0.000776467,6
721,0.002460468,0.300367779,0.00065038,0.000149321,7
745,0.000298623,0.162478347,7.46e-10,0.000179185,
760,1.9e-7,0.252406474,0.000150391,0.0000895924,12
766,0.000389653,0.329894977,0.004222223,0.000537554,11
781,2.62e-6,0.24660127,0.0000601042,0.0000597282,12
786,0.000715398,0.336867838,0.026450387,0.001821711,11
803,0.000574711,0.323482814,0.004237755,0.000746603,4
812,0.000961742,0.353031102,0.024133384,0.003733015,2
818,0.000101815,0.268188954,0.000250801,0.000119456,11
852,0.003734069,0.357562361,0.015420329,0.004867851,8
855,0.000705311,0.332057397,0.008616038,0.00101538,3
1103,0.00091648,0.334301745,0.057460658,0.006122144,11
1110,0.0,0.25364734,0.000219675,0.0000597282,12
1120,3.8e-6,0.313172219,0.008042803,0.000537554,12
1125,2.0e-7,0.25054996,0.000414334,0.0000597282,12
1126,0.000105295,0.334181637,0.024905427,0.001224429,8
1140,4.78e-6,0.320639268,0.020734393,0.000866059,6
1201,0.0000266719,0.297356339,0.000555407,0.000119456,9
1213,0.000122176,0.305453185,0.001630948,0.000209049,11
1221,0.004390657,0.291963484,0.0015463,0.004300433,4
1226,0.0000101428,0.294860957,0.000496193,0.000149321,4
