ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
1,2.22033E-05,0.273461825,0.000112891,0,0.000210852
11537,0.000569811,0.307864079,0.001539361,0,0.002080405
56994,7.14E-06,0.333273993,0.003644602,0,0.000323306
3,0.00022357,0.347517696,0.002071215,0,0.000463874
293,0.001186483,0.357202035,0.010648019,0,0.004174866
6939,0.181195743,0.477677282,0.184366668,0,0.133370818
37619,8.8441E-05,0.32786583,0.000853617,0,0.000182738
133967,4.16E-07,0.279087649,0.00010529,0,4.21704E-05
136882,1.05E-06,0.292458725,0.000199539,0,4.21704E-05
139438,8.02E-07,0.260017471,9.84E-06,0,5.62272E-05
139769,3.43E-07,0.264432459,1.80261E-05,0,4.21704E-05
206960,9.72E-09,0.268612984,8.19997E-05,0,4.21704E-05
264381,3.15E-07,0.315031065,0.001276778,0,0.000182738
4,6.61726E-05,0.30404438,0.000252989,0,0.000224909
38315,1.48E-07,0.234250491,9.49E-07,0,4.21704E-05
57111,4.95247E-05,0.34620195,0.01353844,0,0.004371662
266023,2.72E-06,0.300527634,0.0001061,0,4.21704E-05
6,3.69507E-05,0.309794632,0.000336229,0,0.000112454
64031,3.45E-07,0.24792726,6.67E-06,0,4.21704E-05
8,4.32E-06,0.287513337,0.000140211,0,8.43407E-05
1700,0,0.258578075,1.5194E-05,0,4.21704E-05
262308,0,0.249501978,7.27E-06,0,2.81136E-05
262907,0.000534936,0.329739601,0.002500912,0,0.000871521
10,3.89E-07,0.284238242,0.000129481,0,4.21704E-05
131401,9.66E-09,0.271449013,0.000146574,0,4.21704E-05
12,4.40494E-05,0.326728944,0.000520574,0,0.000112454
54965,0,0.246267391,1.43E-06,0,1.40568E-05
394666,2.15E-08,0.253337654,4.58E-06,0,2.81136E-05
18,6.44E-06,0.301004477,0.000174312,0,4.21704E-05
276,1.80E-06,0.248101919,2.70E-06,0,0.000182738
24,8.19E-06,0.325244139,0.000633716,0,0.000126511
2153,2.7874E-05,0.281870951,0.000200301,0,0.000590385
7575,0.004084316,0.371960242,0.030309533,0,0.016966545
10343,0,0.250138008,5.47E-06,0,2.81136E-05
22388,1.50397E-05,0.329231439,0.001624479,0,0.00035142
33,3.15069E-05,0.270512811,1.87341E-05,0,4.21704E-05
13979,0.000203387,0.222874562,6.55E-07,0,0.000238965
54680,4.39E-09,0.212918152,1.03E-07,0,2.81136E-05
34,5.63E-06,0.301279825,0.000170342,0,7.02839E-05
2,1.34212E-05,0.26704104,2.66984E-05,0,0.000267079
35,2.83162E-05,0.30983241,0.000367549,0,5.62272E-05
5691,0,0.236544338,1.01E-06,0,1.40568E-05
42,0.000714349,0.374630057,0.030526967,0,0.004919876
187,0,0.272532592,8.40201E-05,0,1.40568E-05
553,0.000655764,0.382769456,0.039430078,0,0.006423953
680,0.000530068,0.359901854,0.01441763,0,0.002741074
701,0.017962691,0.369637169,0.006744074,0,0.019595164
715,2.8193E-05,0.294849053,0.000227853,0,8.43407E-05
852,0.002708065,0.365587309,0.010726898,0,0.004891763
1103,0.000946849,0.375009225,0.041119548,0,0.00766095
1140,0.000116499,0.363989869,0.029897946,0,0.004694968
1267,0.002208806,0.391591301,0.068107257,0,0.018597132
1273,0.002594191,0.375286186,0.012453406,0,0.004470059
1280,7.1703E-05,0.348360054,0.006839004,0,0.001518133
1403,0.000122452,0.346104259,0.006879644,0,0.0034158
1764,0.002785826,0.390345077,0.056833813,0,0.014605004
1798,0.000360307,0.366733167,0.017152741,0,0.006564521
1916,0.004329601,0.357775096,0.013557315,0,0.01111892
2152,0.002067553,0.346318239,0.00375263,0,0.001911723
2381,0.000720985,0.344658854,0.007359818,0,0.003050323
2497,0.002285589,0.381043182,0.010366134,0,0.004863649
2603,0.001740354,0.370137202,0.025917182,0,0.006789429
2613,2.71346E-05,0.337337057,0.010335887,0,0.001546247
2905,6.36439E-05,0.342557771,0.00530155,0,0.001630588
3130,6.79904E-05,0.340909635,0.01099939,0,0.00420298
3214,0.000285684,0.37679486,0.044062833,0,0.007534439
3216,0.014950475,0.395466093,0.062629614,0,0.025119483
3267,0.003667985,0.391750874,0.046997498,0,0.014337925
3292,0.002788442,0.372929335,0.017566978,0,0.005313466
3303,0.005476253,0.398367109,0.03874601,0,0.014070846
3320,0.006480912,0.375829424,0.01789758,0,0.00950239
3333,0.000139794,0.36148374,0.027886096,0,0.004146753
3402,0.000132438,0.344250237,0.005999009,0,0.001982007
3491,0.00637126,0.39128976,0.021767665,0,0.010233343
3741,0.00137528,0.382351835,0.041885405,0,0.011526567
4181,0.001301054,0.358480012,0.012527716,0,0.005130728
4608,0.000151155,0.347568632,0.00925539,0,0.002192859
4637,0.005649931,0.386834364,0.029356927,0,0.010655046
4657,0.002849217,0.382485457,0.051620493,0,0.014014619
4739,0.000460928,0.34437022,0.008990412,0,0.006030363
4777,9.34E-06,0.327785764,0.001234145,0,0.000379533
4788,0.001694217,0.382837431,0.030098694,0,0.005875738
4826,0.010590048,0.382374441,0.033186738,0,0.02140849
4844,0.000137378,0.348915341,0.010154474,0,0.001967951
5413,0.00022073,0.367341037,0.029094181,0,0.004821479
5645,0.000162914,0.341251415,0.00717886,0,0.003148721
5650,0.002852263,0.356384258,0.005781712,0,0.003696936
5713,0.001222418,0.391778921,0.076817933,0,0.021900478
6079,0.001464794,0.364051338,0.014155067,0,0.003865617
6082,1.20139E-05,0.333912227,0.0041385,0,0.001349452
6233,0.00121788,0.377086458,0.053138339,0,0.012847906
6423,8.32067E-05,0.336817984,0.001935563,0,0.00118077
6461,0.026203587,0.400378204,0.031720601,0,0.02981445
6667,0.00161236,0.381124838,0.032640358,0,0.007773405
6720,0.00016818,0.340602782,0.009983439,0,0.002895699
6730,0.00152066,0.377763263,0.02676113,0,0.007239247
6762,0.008373046,0.395492475,0.026857849,0,0.008462187
6830,0.010962216,0.381457948,0.021005096,0,0.013030644
6908,0.000354974,0.344043796,0.006254095,0,0.001461906
7195,0.001298469,0.385978048,0.033574131,0,0.007407928
7473,0.001233947,0.370002444,0.014372192,0,0.004652797
7489,0.000164605,0.352744005,0.025537055,0,0.00420298
7500,4.54E-05,0.349828135,0.007945221,0,0.001026146
7545,0.005215853,0.365200696,0.01832815,0,0.009361822
7597,0.000515232,0.28681783,0.000947549,0,0.002024178
7660,0.000298331,0.353429217,0.012005923,0,0.004821479
7713,0.013730028,0.412293462,0.0704172,0,0.030784369
7922,0.001587354,0.369217036,0.007662729,0,0.002783244
8218,0.004008203,0.387793816,0.066076988,0,0.023039078
8220,0.021453437,0.407438589,0.051090689,0,0.032808547
8359,0.011241442,0.396281174,0.060252505,0,0.019890357
8426,0.001543638,0.386193868,0.053624037,0,0.012201293
8447,0.00343895,0.388164105,0.056616106,0,0.015378128
8455,0.001507192,0.376404108,0.036896901,0,0.008869834
8468,0.000995376,0.386317602,0.057935318,0,0.013368007
8492,0.003173862,0.379170664,0.067180872,0,0.025288164
8607,0.000158453,0.353928587,0.009309466,0,0.001700872
8732,0.003154355,0.380413567,0.050497143,0,0.013185268
8758,0.000394976,0.374167013,0.04240041,0,0.007337644
8896,0.000405193,0.368059436,0.022825083,0,0.00416081
9002,0.015104849,0.406451576,0.075744827,0,0.03318808
9304,0.005203022,0.403137148,0.062524997,0,0.020789992
9902,0.000596159,0.361582955,0.016127101,0,0.004807422
10886,0.000216102,0.33472764,0.000884433,0,0.000421704
11039,0.000187501,0.347380243,0.010742357,0,0.002951926
11096,0.000770488,0.345892226,0.00351879,0,0.001279168
11164,0.000876257,0.344012186,0.004943264,0,0.002080405
11686,0.000485945,0.36176315,0.010512207,0,0.003387686
11708,0.000122185,0.34205212,0.009923275,0,0.001953894
12307,5.71848E-05,0.333022812,0.00723467,0,0.001166714
12350,0.000139401,0.355934917,0.022068454,0,0.005327523
12389,0.018180064,0.372306742,0.021942464,0,0.017191453
12470,0.000274214,0.372634369,0.036486379,0,0.006016306
12552,0.005258347,0.3914814,0.069328933,0,0.019806016
12637,0.000887582,0.378930323,0.051182724,0,0.014253584
12779,0.002118916,0.394568991,0.087459759,0,0.029181895
12859,0.000208354,0.364360858,0.03422876,0,0.005327523
12956,0.004123507,0.373248267,0.010396714,0,0.003584481
13004,3.04406E-05,0.341022396,0.003998858,0,0.000716896
13030,0.00238378,0.384011228,0.049764036,0,0.014858026
13237,0.003852135,0.387417904,0.075580343,0,0.025695811
13786,0.004655687,0.397423507,0.083023836,0,0.029083497
14061,0.003821542,0.403365728,0.074229833,0,0.022518977
14361,0.000569861,0.370229663,0.018825812,0,0.004610627
