ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,0.005143763,0.324383605,0.015365253,0.009297271,2
3,0.0000331595,0.306985192,0.002512098,0.000241488,5
4,0.0,0.233713826,0.0000462627,0.000120744,6
11,0.000086004,0.294287999,0.001229292,0.000241488,6
12,0.0000297971,0.298757282,0.001577554,0.000181116,4
13,0.0000905689,0.243990101,0.000062165,0.000181116,4
14,0.0000115616,0.291363237,0.001462982,0.000181116,3
20,5.84e-6,0.280223312,0.000957949,0.000181116,3
24,0.000028051,0.293209658,0.001513705,0.000422603,8
26,2.48e-6,0.275708246,0.000531788,0.000120744,3
29,0.0000134928,0.304832714,0.002332296,0.000181116,2
32,0.000086062,0.29889745,0.002123969,0.000482975,6
33,1.97e-6,0.323225227,0.007030411,0.000301859,2
34,0.0000132942,0.250893669,0.000355192,0.000181116,6
35,0.0000603682,0.288596568,0.000931517,0.000120744,2
38,0.000078499,0.293220039,0.001996541,0.000422603,7
42,7.07e-7,0.299232228,0.004115571,0.000422603,6
46,0.0000806823,0.309781186,0.002142144,0.000181116,3
50,5.69e-6,0.280864773,0.000583297,0.000181116,6
52,0.0,0.243889511,0.000139039,0.000120744,6
57,0.000740377,0.309254868,0.003480533,0.000543347,3
59,0.0,0.281298825,0.000806771,0.000181116,6
64,0.0000603682,0.288596568,0.000931517,0.000120744,2
71,0.0000617064,0.348730473,0.009060317,0.000603719,7
75,0.0,0.236625191,0.000108111,0.000120744,5
80,0.000482931,0.317798968,0.003329352,0.000362231,2
81,0.000612032,0.31191624,0.003238721,0.000482975,2
91,7.89e-6,0.275993069,0.000534545,0.000181116,3
98,0.0000133507,0.299470268,0.001914234,0.000181116,3
101,0.001501881,0.338130524,0.011253143,0.001750785,2
103,2.22e-6,0.294764566,0.00175268,0.000241488,7
112,0.000749655,0.317908758,0.017056813,0.001509297,25
132,2.35e-6,0.244292372,0.000062979,0.000120744,4
137,0.000130186,0.320529442,0.011857414,0.000543347,6
145,0.000638186,0.312274947,0.00290263,0.000664091,2
151,0.000304744,0.320560458,0.005063944,0.000664091,5
160,2.22e-6,0.294764566,0.00175268,0.000241488,7
173,0.000133598,0.26833417,0.000347731,0.000241488,3
174,0.001829876,0.386485604,0.036754627,0.002777107,3
194,8.52e-6,0.269591966,0.000460902,0.000181116,3
195,0.000412678,0.283237291,0.000721893,0.000422603,6
196,1.81e-6,0.29557459,0.001435001,0.000120744,2
206,0.000019725,0.312210201,0.002741666,0.000181116,2
209,0.078818959,0.405642357,0.070714777,0.063269742,1
