ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
1,3.82E-07,0.266227463,2.01787E-05,0,0.000106206
11537,0.001003214,0.344673166,0.003301809,0,0.002248026
2,5.17693E-05,0.266974784,2.96512E-05,0,0.000283216
134006,4.89E-06,0.274365251,0.000118045,0,8.8505E-05
263686,3.63558E-05,0.230855359,7.32E-07,0,7.0804E-05
264122,0,0.246426437,6.95E-06,0,3.5402E-05
3,0.000319209,0.323580961,0.000587656,0,0.000495628
293,0.001684353,0.361997155,0.007941592,0,0.002814458
23248,7.1788E-05,0.304139973,0.000242319,0,0.000194711
52116,5.95853E-05,0.26666352,0.000158506,0,0.000106206
52284,0.000292339,0.323623594,0.000825203,0,7.0804E-05
52434,4.63E-07,0.267957426,4.28464E-05,0,5.3103E-05
56121,3.81071E-05,0.247894864,3.30E-06,0,0.000106206
132365,4.35E-06,0.244680344,2.11E-06,0,3.5402E-05
134056,1.97E-06,0.255643997,1.54265E-05,0,7.0804E-05
135604,8.85E-07,0.244877613,2.34E-06,0,7.0804E-05
200929,3.04E-07,0.245011428,2.42E-06,0,3.5402E-05
262879,3.84E-07,0.265348395,5.55631E-05,0,5.3103E-05
264597,1.04E-06,0.268805283,0.00011097,0,7.0804E-05
265316,5.29E-07,0.265354627,5.64145E-05,0,7.0804E-05
9,3.88574E-05,0.321754632,0.00055391,0,0.00017701
5050,0.000234887,0.320342491,0.000520094,0,0.000336319
8847,1.09E-08,0.264888055,0.000112783,0,5.3103E-05
47139,7.01658E-05,0.264895508,0.000113028,0,0.000106206
10,2.37E-07,0.229075854,1.53E-06,0,7.0804E-05
46392,1.63E-06,0.256619441,1.47612E-05,0,5.3103E-05
12,4.32688E-05,0.323939059,0.000544498,0,0.000106206
54965,0,0.244679285,1.95E-06,0,1.7701E-05
13,3.5402E-05,0.199319771,4.60E-08,0,3.5402E-05
1508,0,0.166194506,3.29E-10,0,1.7701E-05
24,9.30E-06,0.324398507,0.000906805,0,0.000159309
2153,5.80246E-05,0.280503669,0.000256492,0,0.000725741
7575,0.005399818,0.36349715,0.024148203,0,0.015364463
10343,0,0.25742863,1.24306E-05,0,3.5402E-05
32,9.61E-07,0.253287483,7.15E-06,0,8.8505E-05
3561,0.002444307,0.308523245,0.000909431,0,0.004513754
3671,3.66E-07,0.26601811,3.12092E-05,0,5.3103E-05
46750,1.34E-07,0.258825039,1.75551E-05,0,3.5402E-05
34,1.12463E-05,0.300169494,0.000235921,0,0.000106206
10466,3.15E-06,0.303986139,0.000299077,0,0.000230113
35,1.61301E-05,0.285112997,7.18057E-05,0,5.3103E-05
5691,3.54024E-05,0.232260027,1.89E-06,0,5.3103E-05
42,0.000551403,0.371925528,0.027259384,0,0.003256983
27,3.02E-07,0.276496297,0.000110803,0,5.3103E-05
187,0,0.271098762,9.73897E-05,0,1.7701E-05
286,0.004580787,0.403967164,0.050318292,0,0.011523348
553,0.001484352,0.385732526,0.058224871,0,0.012957128
680,0.000894168,0.366406372,0.025175291,0,0.005770524
701,0.023969772,0.376466041,0.00799641,0,0.023223705
715,3.54872E-05,0.296380625,0.000316783,0,8.8505E-05
852,0.003297184,0.367988744,0.016887737,0,0.008266365
1103,0.001891961,0.378562382,0.087905603,0,0.022090842
1267,0.003604011,0.386030366,0.08733372,0,0.022320954
1273,0.005839134,0.386225662,0.01502607,0,0.006248451
1280,0.00053597,0.370527779,0.009560681,0,0.002655149
1403,7.46241E-05,0.341083493,0.006806172,0,0.003221581
1764,0.003535251,0.385690391,0.072091394,0,0.017169965
1836,0.00073783,0.369224937,0.03366541,0,0.007487521
1853,0.00081698,0.346474174,0.008959899,0,0.002938365
1916,0.008161303,0.357590911,0.015508408,0,0.021595214
2152,0.002391777,0.348909311,0.004906512,0,0.00231883
2381,0.000711307,0.348371422,0.007704553,0,0.002991468
2497,0.004029108,0.384420144,0.013637045,0,0.005611215
2603,0.003946119,0.378826385,0.042261072,0,0.009381527
2905,9.17267E-05,0.336957754,0.003207716,0,0.000849648
