ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
1,1.72568E-05,0.276329323,0.000162148,0,0.000265873
11537,0.001071938,0.344713221,0.003173506,0,0.00222669
134008,4.75E-06,0.274815052,0.000104188,0,6.64684E-05
197592,7.52E-06,0.326949615,0.001068103,0,9.97026E-05
205988,1.05E-06,0.323708346,0.000805748,0,4.98513E-05
2,4.76157E-05,0.261608016,6.93083E-05,0,0.000365576
47149,6.20E-08,0.251295542,4.97722E-05,0,3.32342E-05
52685,3.71E-07,0.265538543,9.36187E-05,0,8.30855E-05
134943,1.14E-06,0.275148024,0.000106568,0,6.64684E-05
135848,6.94E-07,0.274774898,0.000103859,0,4.98513E-05
263393,0,0.246794044,1.14503E-05,0,3.32342E-05
266056,1.52E-08,0.249854685,1.25666E-05,0,4.98513E-05
3,0.000333508,0.343025377,0.002481984,0,0.000598215
293,0.001533281,0.357340506,0.008188797,0,0.002675352
6939,0.231172632,0.47471385,0.211442509,0,0.125243025
23248,9.05592E-05,0.303489838,0.000324772,0,0.000199405
41917,2.20E-06,0.257240073,1.40853E-05,0,4.98513E-05
133296,0.000299488,0.29174585,0.000363463,0,0.000332342
265301,2.22E-08,0.263683925,3.81745E-05,0,4.98513E-05
266152,4.18E-07,0.269399504,8.44172E-05,0,6.64684E-05
266215,4.75E-07,0.262557645,2.53549E-05,0,8.30855E-05
4,1.6902E-05,0.300997339,0.000244956,0,0.000149554
52059,2.02E-08,0.257787735,8.07E-06,0,4.98513E-05
5,2.72155E-05,0.271302662,0.000201725,0,0.000365576
28599,7.64E-08,0.25138582,1.8076E-05,0,4.98513E-05
38524,3.3666E-05,0.265544402,0.000110573,0,8.30855E-05
45287,8.66079E-05,0.339424807,0.015877803,0,0.001096728
49991,0,0.252792398,1.46432E-05,0,3.32342E-05
52352,2.38E-06,0.260948937,1.57723E-05,0,8.30855E-05
197589,7.06789E-05,0.337521102,0.004040501,0,0.000315725
262879,1.70E-07,0.256151702,8.73397E-05,0,8.30855E-05
264597,3.41E-07,0.265642864,0.000146689,0,6.64684E-05
265048,3.34444E-05,0.26519802,8.78648E-05,0,8.30855E-05
265141,7.42E-06,0.327074003,0.002664137,0,0.000481896
265316,5.17E-08,0.247651225,2.1826E-05,0,4.98513E-05
10,3.09E-07,0.221677454,4.40E-07,0,4.98513E-05
46392,4.91E-06,0.255903352,1.20358E-05,0,4.98513E-05
12,3.76013E-05,0.325703863,0.000761993,0,9.97026E-05
54965,0,0.245684728,2.63E-06,0,1.66171E-05
13,3.32342E-05,0.199936211,4.77E-08,0,3.32342E-05
1508,0,0.166622828,3.30E-10,0,1.66171E-05
24,7.13E-06,0.324646109,0.000869188,0,0.000149554
2153,3.54646E-05,0.280855929,0.000251172,0,0.000714535
7575,0.00465439,0.358564764,0.022284495,0,0.01445687
10343,0,0.256544815,1.28995E-05,0,3.32342E-05
22388,7.94E-07,0.282207237,0.000413917,0,0.000282491
32,2.11E-08,0.246392892,3.60E-06,0,6.64684E-05
3671,9.12E-07,0.263341225,3.0849E-05,0,4.98513E-05
46750,4.52E-07,0.258096198,1.47636E-05,0,3.32342E-05
34,1.24094E-05,0.298141662,0.000231267,0,0.00011632
10466,4.02E-06,0.301640051,0.000263392,0,0.000199405
30641,5.28E-07,0.319370589,0.00055048,0,6.64684E-05
35,3.32331E-05,0.2779669,4.26321E-05,0,3.32342E-05
5691,3.32345E-05,0.217511051,2.94E-07,0,4.98513E-05
42,0.000552046,0.371812694,0.02895025,0,0.00325695
187,0,0.271038729,9.99299E-05,0,1.66171E-05
286,0.004408066,0.405923697,0.057278636,0,0.012014158
553,0.0013555,0.386627776,0.05986873,0,0.01354293
680,0.000773089,0.360124711,0.025163851,0,0.00623141
701,0.018110897,0.369852069,0.008696619,0,0.020522109
715,3.31454E-05,0.296201684,0.000313513,0,8.30855E-05
852,0.003249168,0.368152843,0.015867175,0,0.007594011
1103,0.001892264,0.380145921,0.083245238,0,0.02120341
1257,0.002402066,0.364546672,0.016383204,0,0.003589292
1267,0.003104728,0.384027312,0.079495832,0,0.019392147
1273,0.004986863,0.384252904,0.015081501,0,0.00559996
1280,0.000436746,0.368743873,0.010402634,0,0.002542415
1403,0.000122139,0.344740867,0.007269546,0,0.003506206
1764,0.003201692,0.386114284,0.068650283,0,0.016085345
1916,0.008726973,0.360489286,0.02187104,0,0.026155303
2152,0.00233194,0.3478756,0.0042735,0,0.002176839
2497,0.00363904,0.383239825,0.012698181,0,0.00548364
2603,0.004568292,0.398217323,0.046880368,0,0.011947689
2905,7.49492E-05,0.338485508,0.004856581,0,0.001229665
3216,0.015518029,0.367431296,0.02757303,0,0.01508832
3252,0.003871687,0.38101479,0.075358402,0,0.022848502
3257,0.021819008,0.402640154,0.043064016,0,0.026936307
3267,0.004323055,0.385424339,0.057374906,0,0.014523339
3303,0.005311496,0.398539063,0.03144358,0,0.008109141
3333,0.000680088,0.371904606,0.058957189,0,0.011931072
3491,0.009411805,0.399605567,0.026442406,0,0.010734642
3741,0.001565279,0.380006693,0.055065283,0,0.013094269
4181,0.001869737,0.366248357,0.018044581,0,0.007095498
4323,0.01557727,0.358874815,0.009001466,0,0.034181359
4558,5.59E-06,0.324894993,0.001981654,0,0.000465279
4589,0.001620232,0.375883823,0.050361312,0,0.011050366
4608,0.000210871,0.324488563,0.006383765,0,0.004104422
4637,0.005591882,0.391357222,0.026918431,0,0.010601705
