ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,0.045081017,0.417440934,0.129145626,0.044435612,1
2,0.000158983,0.263466533,0.000309352,0.000158983,4
8,0.0,0.294489442,0.001940631,0.000158983,2
14,4.19e-6,0.282126037,0.001344959,0.000238474,15
17,0.0000592881,0.322704769,0.006792135,0.000158983,2
22,0.000262599,0.26065516,0.000451884,0.000397456,4
24,0.0000658763,0.281885812,0.00125057,0.000556439,10
27,0.0000169014,0.295714722,0.001994034,0.000158983,2
32,0.000164898,0.313036554,0.006702569,0.00063593,15
33,3.51e-7,0.346546927,0.018489805,0.000715421,2
35,3.33e-6,0.29528437,0.001997373,0.000158983,2
38,0.0000209756,0.319947099,0.012576902,0.000874404,3
48,3.89e-7,0.295582707,0.002477377,0.000238474,3
50,2.98e-7,0.286325564,0.001212996,0.000158983,2
57,0.000410035,0.279071831,0.000987915,0.000556439,13
59,1.99e-7,0.287845506,0.001659266,0.000317965,14
68,1.21e-6,0.286834785,0.001691439,0.000238474,2
70,0.0000142125,0.295014305,0.002071212,0.000238474,15
81,0.000280517,0.343003599,0.012771249,0.000476948,13
87,0.0000291557,0.295714722,0.003015306,0.000238474,2
101,0.002271285,0.346785754,0.016060366,0.001987281,13
103,0.000113244,0.329552301,0.014888414,0.001112878,13
137,0.0000314845,0.304033642,0.003588194,0.000317965,12
145,0.002253285,0.333130313,0.01013047,0.002861685,13
159,0.0,0.261788821,0.000403071,0.000158983,3
160,0.0000192804,0.300928141,0.003686338,0.000397456,13
173,0.00010785,0.30691161,0.003236289,0.000397456,3
174,0.014539062,0.402817803,0.049171177,0.011526232,2
189,0.0,0.302244006,0.002689171,0.000158983,2
194,2.82e-6,0.262214441,0.000380838,0.000317965,14
195,0.000485543,0.292462919,0.002769463,0.00063593,14
196,1.85e-6,0.295429994,0.003159411,0.000158983,2
200,0.000646804,0.329215953,0.009436738,0.001033386,2
202,3.04e-6,0.29735032,0.003006974,0.000238474,2
209,0.063488844,0.418970226,0.126259284,0.057631161,1
210,0.0000951177,0.311047374,0.00444365,0.000397456,13
224,0.000158983,0.243562439,0.00017838,0.000158983,14
226,0.000354028,0.323842867,0.012348416,0.001351351,3
237,0.000291437,0.339477022,0.014402226,0.001430843,13
261,0.0,0.244172279,0.000200472,0.000158983,9
270,0.000158983,0.275086921,0.00063832,0.000158983,10
271,0.0000741934,0.297167694,0.002540977,0.000794913,14
278,0.000402162,0.292320204,0.001304143,0.000794913,6
279,0.0000612286,0.295527157,0.002097012,0.000317965,2
286,0.016710559,0.375040992,0.041922222,0.010333863,8
288,0.000159112,0.269899163,0.000698236,0.000238474,13
293,0.011154377,0.401160751,0.073896432,0.010413355,1
297,0.0023914,0.379441395,0.040992442,0.003100159,9
302,3.37e-6,0.303732677,0.00390622,0.000238474,2
303,0.000280299,0.260466272,0.000444867,0.000397456,3
376,0.000162753,0.275369933,0.000932345,0.000317965,14
378,0.000259476,0.316637302,0.007201721,0.00063593,7
400,2.83e-6,0.253256296,0.000187934,0.000158983,3
450,0.000158983,0.226911977,0.0000204438,0.000158983,16
454,0.0,0.226903791,0.0000204389,0.0000794913,15
513,0.000797171,0.328931887,0.018503559,0.003100159,12
517,0.00256817,0.324586526,0.014995735,0.004133545,9
549,0.000865882,0.297561322,0.002140833,0.001033386,14
553,0.0000136092,0.320411594,0.008204989,0.000476948,11
559,0.000430401,0.315090795,0.013792089,0.002305246,10
568,0.002231467,0.345073513,0.016639454,0.001112878,16
577,0.005017889,0.357884555,0.023842398,0.005007949,6
