ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,0.113540777,0.401640363,0.148935874,0.064356436,1
17,0.0000452393,0.309815951,0.013240284,0.000309406,2
22,0.001380459,0.256507937,0.001795348,0.00154703,5
25,0.000149014,0.289217002,0.004512128,0.000309406,4
33,0.000114029,0.328522057,0.024661287,0.002165842,2
38,0.000111591,0.292197812,0.007431391,0.000928218,7
50,6.1e-6,0.289035951,0.004471973,0.000928218,2
52,0.000217279,0.312844836,0.012080169,0.000309406,2
70,0.0,0.286626463,0.004622448,0.015779703,2
81,0.000765386,0.32560951,0.021669166,0.006188119,4
93,0.001320545,0.325412807,0.020230996,0.002784653,2
97,0.001758364,0.322587085,0.020507311,0.000618812,5
103,0.001244988,0.291933881,0.006794451,0.005259901,3
114,0.003090432,0.337933919,0.026014411,0.000309406,2
132,3.72e-6,0.258891381,0.001827407,0.000309406,5
137,0.007601965,0.227173684,0.000126509,0.000309406,2
145,0.007871283,0.322909382,0.021274696,0.010829208,2
174,0.010056151,0.385082807,0.091775117,0.02134901,1
194,0.000201116,0.313512465,0.012608915,0.000618812,2
195,0.000628693,0.284933439,0.004149007,0.000928218,3
209,4.62e-6,0.250251645,0.001264825,0.005878713,3
224,0.0000229853,0.232534715,0.000186537,0.001237624,4
226,0.001950452,0.293791474,0.011644137,0.000618812,3
237,0.001120836,0.322844871,0.017041218,0.000618812,3
266,0.001239819,0.248558025,0.001261324,0.000309406,4
278,0.003312799,0.314458066,0.012781741,0.001856436,4
284,0.000618812,0.3096082,0.013003719,0.001237624,2
286,0.051051375,0.401590457,0.10913821,0.000928218,5
288,0.001234793,0.275180928,0.002087353,0.000928218,7
293,0.053581493,0.406387527,0.136122851,0.000309406,1
297,0.011396251,0.37076976,0.064193846,0.00154703,2
298,0.0,0.232033886,0.000478107,0.000309406,4
419,0.0,0.185779157,6.45e-6,0.000618812,5
450,0.001237432,0.228151913,0.000214902,0.000928218,5
513,0.001880134,0.320889595,0.015694573,0.000309406,8
517,0.00039792,0.295321637,0.004955991,0.000928218,6
549,0.002018776,0.245424861,0.000686199,0.000928218,4
568,0.020830377,0.353842785,0.043612996,0.000309406,2
577,0.013418947,0.323782809,0.017774681,0.000309406,3
600,0.001375671,0.312633004,0.011914074,0.000309406,2
668,0.006261682,0.344379329,0.043571308,0.000928218,3
683,6.03e-6,0.292621096,0.007496564,0.000309406,2
685,0.002600127,0.32878942,0.02935213,0.000618812,5
701,0.308611579,0.448266297,0.432672547,0.000928218,1
702,0.041670182,0.347826087,0.031463362,0.000928218,2
703,0.004886515,0.321464094,0.01612369,0.000618812,2
715,0.00010749,0.30087507,0.009840266,0.000309406,3
719,3.06e-7,0.247397428,0.000637509,0.000618812,6
724,0.000618812,0.261446368,0.001351341,0.000928218,3
745,0.007128276,0.320063379,0.011767443,0.000618812,5
760,0.000618812,0.224616026,0.000112509,0.000618812,7
766,5.79e-6,0.253231999,0.000656162,0.000618812,3
786,0.000634384,0.29796257,0.007313345,0.000928218,3
814,0.000590752,0.310799115,0.013657245,0.000618812,2
815,0.0000660405,0.254227956,0.001239354,0.000928218,3
