ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
1,0.0000491588,0.259756153,0.000036921,0.00021913,26
2,2.52e-6,0.260326642,0.0000336703,0.000131478,29
3,0.000198371,0.324933781,0.001029574,0.000482086,29
4,0.0000571202,0.281864562,0.00022695,0.00021913,30
5,3.82e-7,0.224811815,2.31e-6,0.000109565,31
6,6.38e-6,0.316797523,0.001002285,0.000131478,3
8,0.000021514,0.315566374,0.000692453,0.000131478,21
14,0.0000329902,0.336630669,0.002511749,0.000284869,12
21,0.0000110622,0.274253743,0.0000633221,0.000109565,2
24,9.35e-6,0.312780584,0.000927912,0.000175304,13
30,9.85e-7,0.310865123,0.000700682,0.000087652,2
32,1.3e-6,0.269004504,0.0000323145,0.000109565,13
34,0.000019154,0.300376499,0.000406666,0.000131478,7
35,0.0000222381,0.278416682,0.0000625238,0.000043826,2
39,0.0,0.216451962,2.88e-7,0.000021913,
42,0.000997654,0.363950298,0.036120012,0.003374603,31
45,8.49e-9,0.267619427,0.0000693959,0.000065739,13
46,2.82e-7,0.280201394,0.000166909,0.000043826,3
49,0.00027319,0.330088028,0.00217454,0.000591651,2
50,0.0,0.267899075,0.0000764478,0.000043826,12
55,1.33e-6,0.327231138,0.001140674,0.000087652,2
57,0.000543244,0.337038405,0.001886471,0.000723129,12
59,5.25e-8,0.27810449,0.000278615,0.000109565,12
60,6.04e-7,0.278968121,0.00018353,0.000153391,
62,0.000141341,0.323868395,0.001092653,0.000416347,4
64,0.0000222381,0.278416682,0.0000625238,0.000043826,2
71,0.000153209,0.321924138,0.000870316,0.00021913,2
73,8.99e-9,0.262691327,0.00010971,0.000043826,12
74,9.6e-9,0.217011907,7.89e-7,0.000043826,21
80,0.0000438757,0.261826214,0.0000284992,0.000065739,3
81,0.000797271,0.324552482,0.000964206,0.000701216,12
86,4.43e-7,0.279648501,0.000632256,0.000131478,
88,7.26e-7,0.30353924,0.000464536,0.000087652,5
93,0.0000220189,0.317264441,0.000911609,0.00021913,2
100,3.98e-6,0.250467895,6.45e-6,0.000175304,22
101,0.000632022,0.345507681,0.003857448,0.00087652,11
103,3.24e-6,0.322883059,0.000906167,0.000109565,13
109,0.000601058,0.349329434,0.003422732,0.000591651,22
112,0.000961951,0.322144572,0.012755158,0.001227128,33
130,1.17e-6,0.296560329,0.00033898,0.000109565,32
132,0.0,0.154212934,1.29e-11,0.000021913,
137,0.000230691,0.340006556,0.005742088,0.000766955,21
149,0.0,0.179499282,1.51e-9,0.000043826,5
151,4.87e-7,0.246377359,0.0000160232,0.000065739,21
154,0.0,0.15222627,7.54e-12,0.000021913,
